media_id,group_key,event_label,stratum,selected_rank,anchor_status,frozen_bbox,local_roi,ground_proxy_area,ground_proxy_centroid,ground_proxy_bbox,bottom_center,component_count
IMG_007529,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[374.326,130.979,867.24,549.672]","[0,235.65225,1360.154,863.69175]",51321,"[618.3177646577425,477.090216480583]","[381,424,862,547]","[620.783,549.672]",2
IMG_007551,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[369.211,100.279,932.176,463.0]","[0,190.95925,1495.141,735.04075]",32560,"[705.0893427518428,392.932800982801]","[396,354,925,457]","[650.6935000000001,463.0]",0
IMG_007612,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[651.083,232.256,1236.662,695.594]","[65.5039999999999,348.0905,1822.241,1043.0975]",65526,"[940.345420138571,612.910066233251]","[651,556,1231,688]","[943.8725,695.594]",6
IMG_007602,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[496.297,70.401,1396.738,605.756]","[0,204.23975000000002,1920,1007.27225]",73728,"[810.5108913845486,508.6439615885417]","[504,445,1161,601]","[946.5175,605.756]",3
IMG_007617,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[605.173,195.178,1237.908,651.629]","[0,309.29075,1870.6429999999998,993.96725]",60393,"[893.5191826867352,570.3466958091169]","[609,514,1165,640]","[921.5405,651.629]",2
IMG_007608,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[497.487,68.458,1465.316,671.169]","[0,219.13575,1920,1080]",81750,"[887.6032660550459,553.6229969418961]","[510,490,1260,676]","[981.4015,671.169]",6
IMG_007620,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[641.167,153.639,1292.934,563.003]","[0,255.98000000000002,1920,870.0260000000001]",49467,"[1007.4381911173106,488.340671558817]","[731,440,1291,562]","[967.0505,563.003]",3
IMG_007621,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[627.944,120.81,1251.55,639.417]","[4.337999999999965,250.46175,1875.156,1028.37225]",77572,"[935.169468364874,547.2061955344712]","[633,483,1246,631]","[939.747,639.417]",3
IMG_007599,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[478.289,257.261,1252.821,754.92]","[0,381.67575,1920,1080]",65022,"[778.8490510904002,663.679877579896]","[480,605,1079,751]","[865.555,754.92]",4
IMG_007599,p03-span-two-bays,positive,positive_p03,2,ANCHOR_VALID,"[1.058,357.314,588.484,743.507]","[0,453.86225,1175.91,1033.15175]",21893,"[177.49417622070982,671.2486639565158]","[3,627,580,736]","[294.771,743.507]",3
IMG_007615,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[671.026,243.992,1229.191,709.428]","[112.86099999999988,360.351,1787.3560000000002,1058.505]",70763,"[946.2457357658664,633.924777072764]","[675,569,1222,709]","[950.1085,709.428]",3
IMG_007610,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[604.532,205.74,1374.533,645.969]","[0,315.79725,1920,976.14075]",52109,"[1058.9156959450384,559.348941641559]","[639,513,1366,640]","[989.5325,645.969]",4
IMG_007610,p03-span-two-bays,positive,positive_p03,2,ANCHOR_VALID,"[1565.837,181.41,1918.734,466.714]","[1212.94,252.736,1920,680.692]",21928,"[1760.0927125136811,413.6794053265232]","[1566,381,1918,469]","[1742.2855,466.714]",2
IMG_007598,p03-span-two-bays,positive,positive_p03,1,ANCHOR_VALID,"[493.96,198.591,1351.476,703.927]","[0,324.925,1920,1080]",55616,"[849.8696957710011,600.4038226409666]","[495,552,1318,700]","[922.7180000000001,703.927]",2
IMG_007569,p02-cross-single-boundary-line,positive,positive_other,1,ANCHOR_VALID,"[305.743,76.453,1404.328,832.037]","[0,265.34900000000005,1920,1080]",136656,"[783.3972090504625,690.7806536119892]","[315,605,1190,826]","[855.0355,832.037]",4
IMG_007634,p04-angled-footprint-outside,positive,positive_other,1,ANCHOR_VALID,"[413.528,223.02,1458.446,793.031]","[0,365.52275,1920,1080]",62163,"[1142.0707012209834,682.711548670431]","[850,622,1450,790]","[935.987,793.031]",1
IMG_007634,p04-angled-footprint-outside,positive,positive_other,2,ANCHOR_VALID,"[414.645,223.422,1458.743,793.222]","[0,365.87199999999996,1920,1080]",62163,"[1142.0707012209834,682.711548670431]","[850,622,1450,790]","[936.694,793.222]",1
IMG_007559,p02-cross-single-boundary-line,positive,positive_other,1,ANCHOR_VALID,"[596.395,39.437,1402.525,676.523]","[0,198.70850000000002,1920,1080]",134714,"[990.3634959989311,570.4883159879448]","[600,485,1393,664]","[999.46,676.523]",2
IMG_007574,p02-cross-single-boundary-line,positive,positive_other,1,ANCHOR_VALID,"[545.348,83.497,1187.562,661.619]","[0,228.02750000000003,1829.7759999999998,1080]",97961,"[865.0567572809588,566.8919978358734]","[552,488,1180,655]","[866.4549999999999,661.619]",3
IMG_007650,p05-multi-vehicle-at-least-one-violation,positive,positive_other,1,ANCHOR_VALID,"[626.288,148.24,1120.072,548.963]","[132.50400000000013,248.42075,1613.8559999999998,849.5052499999999]",47207,"[876.1156396297159,477.1567564132438]","[633,428,1114,535]","[873.18,548.963]",6
IMG_007650,p05-multi-vehicle-at-least-one-violation,positive,positive_other,2,ANCHOR_VALID,"[139.883,203.056,593.407,477.501]","[0,271.66724999999997,1046.931,683.33475]",25631,"[339.6549100698373,426.31883266357147]","[141,395,583,466]","[366.64500000000004,477.501]",3
IMG_007570,p02-cross-single-boundary-line,positive,positive_other,1,ANCHOR_VALID,"[422.983,130.986,1389.139,760.799]","[0,288.43925,1920,1080]",99849,"[860.3553265430801,635.2578393373994]","[432,571,1365,760]","[906.0609999999999,760.799]",3
IMG_007625,p04-angled-footprint-outside,positive,positive_other,1,ANCHOR_VALID,"[441.171,54.977,1466.221,631.204]","[0,199.03375,1920,1063.3742499999998]",70567,"[817.3379483327901,517.4426148199583]","[453,458,1394,628]","[953.696,631.204]",3
IMG_007587,p02-cross-single-boundary-line,positive,positive_other,1,ANCHOR_VALID,"[305.6,132.344,1397.741,867.779]","[0,316.20275,1920,1080]",141656,"[778.469341220986,734.323763200994]","[312,647,1192,859]","[851.6705,867.779]",6
IMG_007587,p02-cross-single-boundary-line,positive,positive_other,2,ANCHOR_VALID,"[156.151,100.761,617.095,405.279]","[0,176.8905,1078.039,633.6675]",26900,"[317.52691449814125,355.5304089219331]","[159,313,567,415]","[386.62300000000005,405.279]",3
IMG_007658,p05-multi-vehicle-at-least-one-violation,positive,positive_other,1,ANCHOR_VALID,"[626.814,185.79,1521.007,696.936]","[0,313.5765,1920,1080]",49141,"[950.1452961885187,592.277304084166]","[636,543,1252,688]","[1073.9105,696.936]",3
IMG_007633,p04-angled-footprint-outside,positive,positive_other,1,ANCHOR_VALID,"[614.274,204.888,1609.922,712.647]","[0,331.82775000000004,1920,1080]",57321,"[1268.7273774009525,610.4550862685578]","[947,560,1600,703]","[1112.098,712.647]",3
IMG_007450,n02-close-to-line-but-inside,negative,negative_ordinary,1,ANCHOR_VALID,"[551.435,169.836,1445.386,743.58]","[0,313.27200000000005,1920,1080]",90525,"[946.2196851698426,638.1171057718863]","[558,571,1311,742]","[998.4105,743.58]",4
IMG_007446,n02-close-to-line-but-inside,negative,negative_ordinary,1,ANCHOR_VALID,"[417.079,128.024,1578.181,910.623]","[0,323.67375000000004,1920,1080]",147292,"[902.8272682834098,766.5401651141949]","[432,675,1315,898]","[997.63,910.623]",2
IMG_007453,n02-close-to-line-but-inside,negative,negative_ordinary,1,ANCHOR_VALID,"[433.771,106.918,1067.94,770.647]","[0,272.85025,1702.1090000000002,1080]",101781,"[742.9139918059362,654.7541780882483]","[444,571,1054,763]","[750.8555,770.647]",1
IMG_007405,n01-standard-inside-bay,negative,negative_ordinary,1,ANCHOR_VALID,"[455.322,249.549,1414.987,768.222]","[0,379.21725000000004,1920,1080]",48515,"[814.8805111821086,663.5143151602597]","[501,612,1351,766]","[935.1545000000001,768.222]",1
IMG_007445,n02-close-to-line-but-inside,negative,negative_ordinary,1,ANCHOR_VALID,"[587.94,146.82,1193.024,681.555]","[0,280.50374999999997,1798.1079999999997,1080]",85530,"[889.0038232199229,593.7034256985853]","[591,521,1181,676]","[890.482,681.555]",3
IMG_007445,n02-close-to-line-but-inside,negative,negative_ordinary,2,ANCHOR_VALID,"[587.536,148.156,1192.087,681.67]","[0,281.5345,1796.638,1080]",85530,"[889.0038232199229,593.7034256985853]","[591,521,1181,676]","[889.8115,681.67]",3
IMG_007435,n02-close-to-line-but-inside,negative,negative_ordinary,1,ANCHOR_VALID,"[636.967,104.226,1410.607,671.204]","[0,245.9705,1920,1080]",99001,"[990.649043949051,575.0275552772194]","[642,501,1330,667]","[1023.787,671.204]",2
IMG_007425,n01-standard-inside-bay,negative,negative_ordinary,1,ANCHOR_VALID,"[592.925,318.074,1511.929,773.599]","[0,431.95525000000004,1920,1080]",53561,"[883.4470603610836,683.9526147756764]","[597,636,1456,769]","[1052.4270000000001,773.599]",5
IMG_007428,n01-standard-inside-bay,negative,negative_ordinary,1,ANCHOR_VALID,"[613.369,116.865,1413.735,697.249]","[0,261.961,1920,1080]",73578,"[946.4281714642964,585.9027018945881]","[621,523,1272,691]","[1013.5519999999999,697.249]",3
IMG_007404,n01-standard-inside-bay,negative,negative_ordinary,1,ANCHOR_VALID,"[581.999,250.291,1409.614,771.255]","[0,380.532,1920,1080]",51846,"[935.917872159858,664.5949735755893]","[594,614,1181,763]","[995.8065,771.255]",1
IMG_007404,n01-standard-inside-bay,negative,negative_ordinary,2,ANCHOR_VALID,"[584.057,252.461,1409.364,767.337]","[0,381.18,1920,1080]",53023,"[934.8486505855949,663.4385643965826]","[594,612,1183,763]","[996.7105,767.337]",1
IMG_007413,n01-standard-inside-bay,negative,negative_ordinary,1,ANCHOR_VALID,"[546.967,220.067,1452.919,727.948]","[0,347.03725,1920,1080]",77268,"[1104.9694569550138,634.1845783506756]","[713,575,1450,724]","[999.943,727.948]",3
IMG_007413,n01-standard-inside-bay,negative,negative_ordinary,2,ANCHOR_VALID,"[1289.854,187.029,1918.805,628.795]","[660.903,297.4705,1920,960.1194999999999]",22440,"[1808.9290106951871,542.8252228163993]","[1531,496,1918,619]","[1604.3295,628.795]",3
IMG_007361,hn03-perspective-looks-like-crossing,negative,negative_hard,1,ANCHOR_VALID,"[423.346,95.629,1416.277,704.553]","[0,247.86,1920,1080]",76283,"[982.3904801856246,581.7542833921057]","[690,521,1387,697]","[919.8115,704.553]",2
IMG_007361,hn03-perspective-looks-like-crossing,negative,negative_hard,2,ANCHOR_VALID,"[423.346,96.641,1417.215,704.515]","[0,248.60950000000003,1920,1080]",75586,"[981.8776889900246,582.3145159156458]","[690,522,1387,697]","[920.2805,704.515]",2
IMG_007392,hn06-shadows-cracks-curbs-mimic-lines,negative,negative_hard,1,ANCHOR_VALID,"[504.002,181.538,1352.745,645.653]","[0,297.56675,1920,993.7392500000001]",61527,"[817.5340419653161,557.968729175809]","[507,506,1303,640]","[928.3734999999999,645.653]",4
IMG_007359,hn02-faded-lines-but-confirmably-inside,negative,negative_hard,1,ANCHOR_VALID,"[433.557,19.645,1363.768,693.214]","[0,188.03725000000003,1920,1080]",78339,"[804.4895007595195,560.9343877251433]","[447,491,1151,685]","[898.6625,693.214]",2
IMG_007359,hn02-faded-lines-but-confirmably-inside,negative,negative_hard,2,ANCHOR_VALID,"[431.227,24.115,1363.002,691.374]","[0,190.92975,1920,1080]",78339,"[804.4895007595195,560.9343877251433]","[447,491,1151,685]","[897.1144999999999,691.374]",2
IMG_007397,hn06-shadows-cracks-curbs-mimic-lines,negative,negative_hard,1,ANCHOR_VALID,"[417.147,135.406,1459.832,746.598]","[0,288.204,1920,1080]",87153,"[795.0309685266141,629.4013745941046]","[420,563,1187,742]","[938.4895,746.598]",2
IMG_007397,hn06-shadows-cracks-curbs-mimic-lines,negative,negative_hard,2,ANCHOR_VALID,"[72.632,143.479,785.691,512.764]","[0,235.80025,1498.75,789.72775]",25895,"[278.4212782390423,442.1818111604557]","[102,401,463,499]","[429.16150000000005,512.764]",2
IMG_007350,hn02-faded-lines-but-confirmably-inside,negative,negative_hard,1,ANCHOR_VALID,"[598.911,189.18,1296.541,737.65]","[0,326.2975,1920,1080]",89671,"[950.9750644020921,639.3062863133008]","[606,573,1288,727]","[947.7259999999999,737.65]",3
IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,negative,negative_hard,1,ANCHOR_VALID,"[594.421,203.39,1287.154,755.627]","[0,341.44925,1920,1080]",91470,"[938.5714879195365,657.7611238657483]","[600,589,1282,751]","[940.7875,755.627]",3
IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,negative,negative_hard,2,ANCHOR_VALID,"[1.13,243.562,421.286,776.499]","[0,376.79625,841.442,1080]",14487,"[61.08842410436944,671.9536135845931]","[3,616,213,766]","[211.208,776.499]",2
IMG_007376,hn04-large-vehicle-compliant,negative,negative_hard,1,ANCHOR_VALID,"[428.725,127.238,1323.229,783.013]","[0,291.18175,1920,1080]",152349,"[873.7015733611642,672.2267753644593]","[432,586,1318,763]","[875.9770000000001,783.013]",1
IMG_007366,hn03-perspective-looks-like-crossing,negative,negative_hard,1,ANCHOR_VALID,"[619.044,154.471,1300.536,725.953]","[0,297.3415,1920,1080]",104312,"[958.4493251016182,632.7599700897308]","[624,554,1294,718]","[959.79,725.953]",2
IMG_007354,hn02-faded-lines-but-confirmably-inside,negative,negative_hard,1,ANCHOR_VALID,"[535.625,150.792,1369.653,673.372]","[0,281.437,1920,1065.3069999999998]",70247,"[1010.5002491209589,572.2695204065654]","[582,516,1357,670]","[952.639,673.372]",1
IMG_007387,hn05-adjacent-vehicle-occludes-lines,negative,negative_hard,1,ANCHOR_VALID,"[1.646,259.783,470.708,1011.559]","[0,447.727,939.77,1080]",79432,"[193.11329187229327,878.3333669050256]","[0,786,466,1039]","[236.17700000000002,1011.559]",1
IMG_007387,hn05-adjacent-vehicle-occludes-lines,negative,negative_hard,2,ANCHOR_VALID,"[493.718,268.26,1216.06,745.895]","[0,387.66875,1920,1080]",58023,"[903.7856884338969,656.4826361959913]","[620,602,1210,739]","[854.889,745.895]",1
IMG_007654,p05-multi-vehicle-at-least-one-violation,negative,negative_adjudicated,1,ANCHOR_VALID,"[402.04,161.323,1212.914,740.715]","[0,306.17100000000005,1920,1080]",58347,"[881.8931393216446,621.3291000394194]","[578,566,1207,727]","[807.477,740.715]",3
IMG_007654,p05-multi-vehicle-at-least-one-violation,negative,negative_adjudicated,2,ANCHOR_VALID,"[402.847,159.557,1211.793,738.711]","[0,304.3455,1920,1080]",59608,"[882.0910783787411,620.1268789424238]","[576,564,1207,727]","[807.3199999999999,738.711]",3
IMG_007637,p04-angled-footprint-outside,negative,negative_adjudicated,1,ANCHOR_VALID,"[533.467,184.688,1411.861,729.577]","[0,320.91025,1920,1080]",79539,"[872.8801845635475,633.2277499088498]","[546,566,1220,727]","[972.664,729.577]",1
IMG_007562,p02-cross-single-boundary-line,negative,negative_adjudicated,1,ANCHOR_VALID,"[609.445,247.62,1257.898,756.398]","[0,374.8145,1906.3509999999997,1080]",88201,"[932.2556320223126,671.6363760048072]","[615,603,1258,748]","[933.6714999999999,756.398]",9
IMG_007576,p02-cross-single-boundary-line,negative,negative_adjudicated,1,ANCHOR_VALID,"[464.213,106.703,1313.537,748.918]","[0,267.25675,1920,1080]",96516,"[827.1230573169215,627.166625222761]","[468,556,1173,715]","[888.875,748.918]",3
IMG_007629,p04-angled-footprint-outside,negative,negative_adjudicated,1,ANCHOR_VALID,"[531.116,220.717,1278.448,710.137]","[0,343.072,1920,1077.2019999999998]",49417,"[828.1785013254548,610.6224780945828]","[537,563,1232,706]","[904.782,710.137]",1
IMG_007626,p04-angled-footprint-outside,negative,negative_adjudicated,1,ANCHOR_VALID,"[488.829,137.982,1299.594,750.641]","[0,291.14675,1920,1080]",116757,"[866.4727082744504,647.5256044605462]","[498,566,1226,748]","[894.2115,750.641]",7
IMG_007644,p04-angled-footprint-outside,negative,negative_adjudicated,1,ANCHOR_VALID,"[497.583,88.905,1654.974,727.493]","[0,248.55200000000002,1920,1080]",115893,"[1221.0286039709042,612.0153935095303]","[796,535,1641,718]","[1076.2785,727.493]",1
IMG_007583,p02-cross-single-boundary-line,negative,negative_adjudicated,1,ANCHOR_VALID,"[738.297,127.122,1423.888,726.164]","[52.70600000000013,276.8825,1920,1080]",107653,"[1072.5695893286763,626.8085329716776]","[747,546,1417,721]","[1081.0925,726.164]",2
IMG_007593,p02-cross-single-boundary-line,negative,negative_adjudicated,1,ANCHOR_VALID,"[378.612,50.12,1422.04,658.557]","[0,202.22925,1920,1080]",125007,"[812.2323869863287,553.4554464949963]","[393,476,1241,655]","[900.326,658.557]",2
IMG_007664,p05-multi-vehicle-at-least-one-violation,negative,negative_adjudicated,1,ANCHOR_VALID,"[743.31,339.134,1430.939,736.042]","[55.68099999999981,438.361,1920,1033.723]",34287,"[1011.0391985300552,654.6453466328346]","[747,616,1260,727]","[1087.1245,736.042]",5
IMG_007664,p05-multi-vehicle-at-least-one-violation,negative,negative_adjudicated,2,ANCHOR_VALID,"[1545.266,360.108,1918.73,788.312]","[1171.8020000000001,467.159,1920,1080]",40139,"[1745.4138120032885,713.8723436059693]","[1551,659,1918,790]","[1731.998,788.312]",4
IMG_007322,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[715.432,439.608,1285.218,730.941]","[145.64599999999996,512.44125,1855.0040000000001,949.44075]",29712,"[946.0282040926226,676.0385366182014]","[723,643,1269,730]","[1000.325,730.941]",1
IMG_007343,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[841.397,403.088,1720.619,926.171]","[0,533.8587500000001,1920,1080]",79248,"[1364.693973349485,829.9312916414294]","[1003,769,1714,925]","[1281.008,926.171]",8
IMG_007321,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[318.623,305.921,1127.981,739.755]","[0,414.3795,1920,1065.1305]",61207,"[627.926969137517,662.7423170552388]","[324,609,964,736]","[723.302,739.755]",2
IMG_007326,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[576.182,345.477,1188.472,799.137]","[0,458.89199999999994,1800.762,1080]",58576,"[861.5709676317946,715.4453871892925]","[582,663,1171,793]","[882.327,799.137]",3
IMG_007337,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[191.026,291.99,1147.433,839.07]","[0,428.76,1920,1080]",66855,"[548.8797247775035,730.2420163039413]","[198,674,887,838]","[669.2295,839.07]",5
IMG_007329,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[315.572,275.775,1176.181,919.0]","[0,436.58124999999995,1920,1080]",123370,"[700.7528005187647,809.8036394585394]","[321,726,1087,904]","[745.8765000000001,919.0]",3
IMG_007329,hn01-gate-queue,secondary_gate_queue,gate_secondary,2,ANCHOR_VALID,"[1128.41,321.177,1302.781,625.853]","[954.0390000000002,397.346,1477.1519999999998,854.3599999999999]",8221,"[1228.751368446661,568.7787373798808]","[1167,534,1294,616]","[1215.5955,625.853]",1
IMG_007335,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[538.698,231.312,1103.697,699.85]","[0,348.4465,1668.696,1051.2535]",55329,"[799.8416201268774,614.3634260514377]","[546,559,1063,697]","[821.1975,699.85]",5
IMG_007327,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[317.634,308.111,1207.426,824.342]","[0,437.16875,1920,1080]",72136,"[666.8008068093601,726.9075219030719]","[324,669,1015,820]","[762.53,824.342]",1
IMG_007348,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[183.676,275.634,1062.46,770.39]","[0,399.323,1920,1080]",84598,"[520.2516962575947,686.5983711198846]","[189,621,889,769]","[623.068,770.39]",1
IMG_007348,hn01-gate-queue,secondary_gate_queue,gate_secondary,2,ANCHOR_INVALID,"[1481.272,71.994,1863.387,519.473]","[1099.157,183.86374999999998,1920,855.0822499999999]",0,[],[],"[1672.3294999999998,519.473]",1
IMG_007334,hn01-gate-queue,secondary_gate_queue,gate_secondary,1,ANCHOR_VALID,"[229.965,280.934,942.987,741.904]","[0,396.17650000000003,1656.009,1080]",50056,"[501.4589459805018,651.3879455010389]","[237,603,904,739]","[586.476,741.904]",1
