media_id,selected_rank,bbox_xyxy,source,selector_version,detector_sha
IMG_007364,1,"[242.259,122.129,1364.877,792.513]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007367,1,"[277.649,149.424,1326.196,822.936]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007370,1,"[485.394,187.227,1400.677,869.86]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007371,1,"[358.052,149.789,1376.304,813.684]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007374,1,"[377.385,64.958,1430.588,788.182]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007377,1,"[559.242,229.09,1555.371,786.462]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007379,1,"[398.115,43.474,1509.594,737.34]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007383,1,"[522.173,92.758,1330.509,764.22]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007383,2,"[525.411,256.077,1327.517,760.403]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007384,1,"[380.098,90.078,1545.355,866.4]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007385,1,"[379.408,131.521,1482.066,849.891]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007388,1,"[488.42,200.034,1385.829,885.899]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007389,1,"[512.185,151.877,1565.284,797.376]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007392,1,"[504.002,181.538,1352.745,645.653]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007393,1,"[695.353,64.715,1228.381,480.342]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007394,1,"[516.455,237.24,1338.368,616.955]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007396,1,"[594.421,203.39,1287.154,755.627]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007396,2,"[1.13,243.562,421.286,776.499]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007399,1,"[522.168,199.429,1388.287,677.514]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007400,1,"[592.858,136.16,1190.752,742.506]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007404,1,"[581.999,250.291,1409.614,771.255]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007404,2,"[584.057,252.461,1409.364,767.337]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007406,1,"[580.229,88.304,1342.86,684.184]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007407,1,"[340.753,101.224,1480.574,813.034]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007410,1,"[598.939,320.729,1464.058,782.408]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007413,1,"[546.967,220.067,1452.919,727.948]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007413,2,"[1289.854,187.029,1918.805,628.795]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007415,1,"[688.837,254.178,1301.733,732.058]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007416,1,"[583.931,202.278,1371.593,622.737]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007417,1,"[472.231,284.802,1346.2,746.534]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007419,1,"[686.62,357.807,1389.565,764.916]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007419,2,"[1322.367,420.445,1918.537,704.761]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007421,1,"[668.209,275.393,1255.133,765.97]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007421,2,"[1.027,360.735,396.926,805.905]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007422,1,"[357.156,99.446,1261.991,689.932]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007424,1,"[685.283,245.858,1245.758,733.406]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007425,1,"[592.925,318.074,1511.929,773.599]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007427,1,"[654.342,216.05,1165.766,752.841]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007427,2,"[654.829,218.365,1163.136,750.368]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007429,1,"[399.223,112.814,1468.503,825.088]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007429,2,"[396.703,118.911,1470.17,822.428]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007433,1,"[723.857,224.159,1357.29,731.016]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007434,1,"[506.595,217.309,1417.607,816.654]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007437,1,"[552.915,62.692,1505.099,754.555]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007439,1,"[664.014,238.516,1240.092,675.296]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007440,1,"[427.222,251.519,1325.914,832.492]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007441,1,"[560.658,78.036,1443.956,668.863]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007442,1,"[591.497,121.357,1442.739,866.167]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007444,1,"[194.71,42.225,1350.317,805.393]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007445,1,"[587.94,146.82,1193.024,681.555]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007445,2,"[587.536,148.156,1192.087,681.67]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007449,1,"[386.433,1.677,1672.369,813.529]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007450,1,"[551.435,169.836,1445.386,743.58]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007454,1,"[344.847,56.076,1281.194,751.324]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007455,1,"[721.937,225.199,1224.665,683.553]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007457,1,"[516.922,310.965,1431.741,812.833]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007457,2,"[516.335,312.566,1431.209,813.327]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007460,1,"[593.517,250.713,1384.621,752.459]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007463,1,"[383.989,196.457,1484.321,769.97]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007463,2,"[1.123,163.765,863.43,541.677]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007465,1,"[351.581,142.859,1621.789,670.654]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007466,1,"[337.637,221.782,1330.312,751.682]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007467,1,"[667.907,153.588,1393.408,605.249]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007467,2,"[1571.085,146.877,1918.896,649.529]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007468,1,"[540.302,86.402,1437.797,586.488]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007469,1,"[671.428,250.199,1576.684,752.794]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007470,1,"[635.814,183.76,1254.787,726.043]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007471,1,"[552.531,242.358,1326.412,657.032]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007473,1,"[566.377,316.828,1441.048,649.259]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007475,1,"[395.344,201.03,1383.085,762.802]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007477,1,"[666.797,220.848,1577.799,698.588]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007479,1,"[734.188,266.756,1202.124,758.601]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007480,1,"[454.69,55.342,1334.799,611.691]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007480,2,"[456.4,56.745,1335.292,609.325]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007482,1,"[628.076,251.026,1186.058,727.084]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007482,2,"[625.827,251.8,1185.27,725.601]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007484,1,"[436.888,187.649,1430.216,700.157]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007485,1,"[112.422,236.703,770.874,631.214]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007485,2,"[1215.187,258.961,1817.82,642.244]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007487,1,"[649.345,153.032,1683.375,724.315]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007487,2,"[244.89,206.089,989.445,566.418]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007488,1,"[798.464,294.287,1291.413,709.61]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007488,2,"[1520.09,301.284,1918.809,616.494]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007491,1,"[1200.453,335.26,1588.263,592.159]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007492,1,"[398.496,338.106,1154.373,723.802]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007492,2,"[892.487,343.027,1452.46,618.696]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007494,1,"[743.146,331.045,1177.482,694.798]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007497,1,"[1364.794,384.988,1918.879,725.374]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007497,2,"[703.04,338.367,1172.553,733.805]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007498,1,"[195.403,158.318,1249.869,762.603]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007498,2,"[903.553,202.154,1663.08,573.528]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007499,1,"[699.854,223.559,1506.365,673.81]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007500,1,"[692.223,199.36,1215.208,626.481]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007503,1,"[645.771,180.534,1238.267,697.031]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007506,1,"[740.173,244.005,1159.968,665.169]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007507,1,"[630.403,267.004,1424.936,720.677]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007508,1,"[559.88,257.083,1334.179,714.581]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007508,2,"[562.74,261.662,1335.563,713.725]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007509,1,"[568.444,153.5,1377.98,784.271]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007511,1,"[510.322,181.009,1654.669,842.286]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007511,2,"[510.402,182.701,1647.532,842.291]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007512,1,"[732.778,306.225,1215.495,710.322]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007514,1,"[406.292,135.954,1308.8,624.859]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007516,1,"[609.194,250.459,1552.464,770.636]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007517,1,"[471.399,231.822,1427.627,742.28]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007519,1,"[634.997,223.421,1388.378,634.146]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007520,1,"[802.663,224.331,1324.654,643.942]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007521,1,"[381.357,210.344,1002.992,585.825]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007527,1,"[724.569,146.576,1432.192,620.796]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007527,2,"[725.491,147.813,1433.786,620.553]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007530,1,"[436.324,136.107,1098.456,497.295]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007530,2,"[436.42,137.121,1097.066,495.519]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007531,1,"[1043.694,207.497,1577.75,555.698]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007533,1,"[249.751,123.825,852.259,470.224]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007534,1,"[353.189,266.558,1050.277,618.707]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007539,1,"[363.173,200.984,1006.229,545.801]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007541,1,"[713.191,332.483,1104.185,656.397]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007542,1,"[369.182,263.367,1128.34,668.339]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007547,1,"[343.408,82.047,1078.945,560.339]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007548,1,"[624.302,255.076,1332.223,630.747]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007549,1,"[419.03,242.554,827.118,606.557]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
