media_id,label,group_id,fold
IMG_007516,negative,IMG_007516,3
IMG_007517,negative,IMG_007517,0
IMG_007519,negative,IMG_007519,4
IMG_007520,positive,IMG_007520,1
IMG_007521,positive,IMG_007521,2
IMG_007527,positive,IMG_007527,3
IMG_007530,positive,IMG_007530,0
IMG_007531,positive,IMG_007531,1
IMG_007533,positive,IMG_007533,3
IMG_007534,positive,IMG_007534,4
IMG_007539,positive,IMG_007539,2
IMG_007541,positive,IMG_007541,0
IMG_007542,positive,IMG_007542,1
IMG_007547,positive,IMG_007547,3
IMG_007548,positive,IMG_007548,2
IMG_007549,positive,IMG_007549,4
IMG_007552,positive,IMG_007552,4
IMG_007554,positive,IMG_007554,0
IMG_007555,positive,IMG_007555,1
IMG_007556,positive,IMG_007556,2
IMG_007558,positive,IMG_007558,3
IMG_007559,positive,IMG_007559,0
IMG_007560,positive,IMG_007560,4
IMG_007562,negative,IMG_007562,1
IMG_007564,negative,IMG_007564,2
IMG_007571,positive,IMG_007571,3
IMG_007575,negative,IMG_007575,0
IMG_007577,negative,IMG_007577,1
IMG_007580,positive,IMG_007580,2
IMG_007581,negative,IMG_007581,4
IMG_007584,positive,IMG_007584,3
IMG_007585,positive,IMG_007585,3
IMG_007586,positive,IMG_007586,0
IMG_007587,positive,IMG_007587,1
IMG_007588,positive,IMG_007588,2
IMG_007592,negative,IMG_007592,4
IMG_007593,negative,IMG_007593,1
IMG_007594,positive,IMG_007594,0
IMG_007598,positive,IMG_007598,2
IMG_007601,positive,IMG_007601,3
IMG_007602,positive,IMG_007602,4
IMG_007603,positive,IMG_007603,1
IMG_007606,positive,IMG_007606,0
IMG_007608,positive,IMG_007608,2
IMG_007609,positive,IMG_007609,3
IMG_007611,positive,IMG_007611,4
IMG_007612,positive,IMG_007612,0
IMG_007614,positive,IMG_007614,1
IMG_007617,positive,IMG_007617,4
IMG_007618,positive,IMG_007618,2
IMG_007626,negative,IMG_007626,3
IMG_007627,negative,IMG_007627,0
IMG_007631,negative,IMG_007631,2
IMG_007632,positive,IMG_007632,1
IMG_007634,positive,IMG_007634,4
IMG_007635,negative,IMG_007635,3
IMG_007637,negative,IMG_007637,0
IMG_007642,negative,IMG_007642,1
IMG_007643,negative,IMG_007643,2
IMG_007646,positive,IMG_007646,3
IMG_007647,negative,IMG_007647,4
IMG_007648,negative,IMG_007648,0
IMG_007650,positive,IMG_007650,1
IMG_007652,negative,IMG_007652,2
IMG_007654,negative,IMG_007654,3
IMG_007655,negative,IMG_007655,4
IMG_007656,positive,IMG_007656,0
IMG_007658,positive,IMG_007658,1
IMG_007659,positive,IMG_007659,3
IMG_007661,negative,IMG_007661,2
IMG_007665,negative,IMG_007665,4
IMG_007667,negative,IMG_007667,0
IMG_007672,negative,IMG_007672,1
IMG_007673,negative,IMG_007673,2
IMG_007674,negative,IMG_007674,3
IMG_007675,negative,IMG_007675,4
IMG_007676,negative,IMG_007676,0
