order,media_id,sample_token,image_path,image_sha256,group_key,event_label,stratum
25,IMG_007650,707813ea7a7b2f00c73a07b4bda1a6467a0e6390bba6dfa883b1831d9dbd2739,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007650.png,707813ea7a7b2f00c73a07b4bda1a6467a0e6390bba6dfa883b1831d9dbd2739,p05-multi-vehicle-at-least-one-violation,positive,positive_other
26,IMG_007570,564f57abeb11621386bd15d9a8794853f850271391be84a01e64d35f42eb0181,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007570.png,564f57abeb11621386bd15d9a8794853f850271391be84a01e64d35f42eb0181,p02-cross-single-boundary-line,positive,positive_other
27,IMG_007625,e7c7bd212781804936bff65cc7ed0cad0a653f2cc430b564913ce69b616d3a36,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007625.png,e7c7bd212781804936bff65cc7ed0cad0a653f2cc430b564913ce69b616d3a36,p04-angled-footprint-outside,positive,positive_other
28,IMG_007587,a5eabf71d9edeb0740a2ed71d633037bd5cf4d9ee9c1375fdf9c7f513837f74d,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007587.png,a5eabf71d9edeb0740a2ed71d633037bd5cf4d9ee9c1375fdf9c7f513837f74d,p02-cross-single-boundary-line,positive,positive_other
29,IMG_007658,b342ab3fa54b278ed3df9f1422768a78ef039394c61b9e83f29c4ed8df3c5e92,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007658.png,b342ab3fa54b278ed3df9f1422768a78ef039394c61b9e83f29c4ed8df3c5e92,p05-multi-vehicle-at-least-one-violation,positive,positive_other
30,IMG_007633,e10f3551915ec8663fee19a9e40c0f7bdb5e4d479c02b5f0677ae1ab75898e53,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007633.png,e10f3551915ec8663fee19a9e40c0f7bdb5e4d479c02b5f0677ae1ab75898e53,p04-angled-footprint-outside,positive,positive_other
31,IMG_007450,dfcabcaf60309258982b2f14a2079537b4c0d67d831f2d2bd838649f9c4cbfca,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007450.png,dfcabcaf60309258982b2f14a2079537b4c0d67d831f2d2bd838649f9c4cbfca,n02-close-to-line-but-inside,negative,negative_ordinary
32,IMG_007446,c2cfddc197039dca12b375eeeeda2d13fa5d17adfd43ebabcb883f11bb8f3b53,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007446.png,c2cfddc197039dca12b375eeeeda2d13fa5d17adfd43ebabcb883f11bb8f3b53,n02-close-to-line-but-inside,negative,negative_ordinary
33,IMG_007453,8cd0d7dbbfacc8107b3c0b0245ce596d043193825b3be2e639fac4f2886f4a32,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007453.png,8cd0d7dbbfacc8107b3c0b0245ce596d043193825b3be2e639fac4f2886f4a32,n02-close-to-line-but-inside,negative,negative_ordinary
34,IMG_007405,b35e008ae423a47a7ee5d2d61fc6aeea77f15be5c1fea62fa4fe74fdd8c5a905,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007405.png,b35e008ae423a47a7ee5d2d61fc6aeea77f15be5c1fea62fa4fe74fdd8c5a905,n01-standard-inside-bay,negative,negative_ordinary
35,IMG_007445,e2488304c57c05fbeb2bec2ee0ba020cc4af5b8c577da633a862d5593d40a598,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007445.png,e2488304c57c05fbeb2bec2ee0ba020cc4af5b8c577da633a862d5593d40a598,n02-close-to-line-but-inside,negative,negative_ordinary
36,IMG_007435,cddfdcb5f1820caf15f7f727e9f73b9a436da73f8b957ed5939e82be872ac0cd,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007435.png,cddfdcb5f1820caf15f7f727e9f73b9a436da73f8b957ed5939e82be872ac0cd,n02-close-to-line-but-inside,negative,negative_ordinary
37,IMG_007425,76812f06edf5e1ac60c11bbec63e9ecc66186ce805ccb42639352654016799a2,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007425.png,76812f06edf5e1ac60c11bbec63e9ecc66186ce805ccb42639352654016799a2,n01-standard-inside-bay,negative,negative_ordinary
38,IMG_007428,b137d0b13f111b6ef733e7f324ec62206ba6b93a1f94d72f76f4d186f9475376,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007428.png,b137d0b13f111b6ef733e7f324ec62206ba6b93a1f94d72f76f4d186f9475376,n01-standard-inside-bay,negative,negative_ordinary
39,IMG_007404,fd620718986af31c5d6919dcdac1b8afacf698dc1b3e72a1bf1755d7e1186959,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007404.png,fd620718986af31c5d6919dcdac1b8afacf698dc1b3e72a1bf1755d7e1186959,n01-standard-inside-bay,negative,negative_ordinary
40,IMG_007413,964cb2b1c0aa78e862c2463199ceb11e2c5d71d150972a4c8ad8fbcaa21c3c93,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007413.png,964cb2b1c0aa78e862c2463199ceb11e2c5d71d150972a4c8ad8fbcaa21c3c93,n01-standard-inside-bay,negative,negative_ordinary
41,IMG_007361,dac89cc4e5fe23b0cfce2ba0ea50484551bf9d03fae59a3d57e70a2f140b36c5,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007361.png,dac89cc4e5fe23b0cfce2ba0ea50484551bf9d03fae59a3d57e70a2f140b36c5,hn03-perspective-looks-like-crossing,negative,negative_hard
42,IMG_007392,09f6d8c971bcafdb24b6dd32111a4ef16ea4a68175d113c31dc3d2a71382cf56,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007392.png,09f6d8c971bcafdb24b6dd32111a4ef16ea4a68175d113c31dc3d2a71382cf56,hn06-shadows-cracks-curbs-mimic-lines,negative,negative_hard
43,IMG_007359,0f858350645bfb2da417651c472e17674c7e73c3c3fc5e7beb11ad38569e2cb7,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007359.png,0f858350645bfb2da417651c472e17674c7e73c3c3fc5e7beb11ad38569e2cb7,hn02-faded-lines-but-confirmably-inside,negative,negative_hard
44,IMG_007397,cbbc4a2ec266a774d09455e1511e71b9f1ba203a0762ea6dcee93105c5efb4ef,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007397.png,cbbc4a2ec266a774d09455e1511e71b9f1ba203a0762ea6dcee93105c5efb4ef,hn06-shadows-cracks-curbs-mimic-lines,negative,negative_hard
45,IMG_007350,0672e381842b11cab5742c519c87268fe09f29ffd958853831362eeb430087f3,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007350.png,0672e381842b11cab5742c519c87268fe09f29ffd958853831362eeb430087f3,hn02-faded-lines-but-confirmably-inside,negative,negative_hard
46,IMG_007396,644abcee17bedddc5b57b7e2f6241d7bdcafd6870043073405879da1936fa2c4,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007396.png,644abcee17bedddc5b57b7e2f6241d7bdcafd6870043073405879da1936fa2c4,hn06-shadows-cracks-curbs-mimic-lines,negative,negative_hard
47,IMG_007376,ca827918de8d22c0cd591284451d6fc435086c824b0a17cac917152375f24cc5,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007376.png,ca827918de8d22c0cd591284451d6fc435086c824b0a17cac917152375f24cc5,hn04-large-vehicle-compliant,negative,negative_hard
48,IMG_007366,593d8263187ce69bbf907e1d7bb14d028b7d586c5be1af698ee48a55bd8193a1,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007366.png,593d8263187ce69bbf907e1d7bb14d028b7d586c5be1af698ee48a55bd8193a1,hn03-perspective-looks-like-crossing,negative,negative_hard
49,IMG_007354,a8688c9c1fb67525739440f7aa807d334a19e396e1e02bd23d926351452d5ca5,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007354.png,a8688c9c1fb67525739440f7aa807d334a19e396e1e02bd23d926351452d5ca5,hn02-faded-lines-but-confirmably-inside,negative,negative_hard
50,IMG_007387,3d7af2dd16e3c80712898605dc1af8d3b352f2dea87631ddd195fa829166d796,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007387.png,3d7af2dd16e3c80712898605dc1af8d3b352f2dea87631ddd195fa829166d796,hn05-adjacent-vehicle-occludes-lines,negative,negative_hard
51,IMG_007654,cb02df1970bfbfef7fc91fa5f26b649261b1a0abc993a9e7d138eeae709aed0b,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007654.png,cb02df1970bfbfef7fc91fa5f26b649261b1a0abc993a9e7d138eeae709aed0b,p05-multi-vehicle-at-least-one-violation,negative,negative_adjudicated
52,IMG_007637,aaed8f87b10e95beae05ff6f909e4359fab1b60944b7725298af180943975ae2,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007637.png,aaed8f87b10e95beae05ff6f909e4359fab1b60944b7725298af180943975ae2,p04-angled-footprint-outside,negative,negative_adjudicated
53,IMG_007562,e98d3f068c7e7ff0d6a731ab924fff48d66316d0dcaf320ea721c3ee9aefb426,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007562.png,e98d3f068c7e7ff0d6a731ab924fff48d66316d0dcaf320ea721c3ee9aefb426,p02-cross-single-boundary-line,negative,negative_adjudicated
54,IMG_007576,a28e080ddb02680d63958e55fc3cca895b3e6a0d01bed541bfa62f0dc52ce903,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007576.png,a28e080ddb02680d63958e55fc3cca895b3e6a0d01bed541bfa62f0dc52ce903,p02-cross-single-boundary-line,negative,negative_adjudicated
55,IMG_007629,53818a58bd837a7eeb47ab89faa4ec39cc1639cc427f0d00b5a1df855feba3e6,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007629.png,53818a58bd837a7eeb47ab89faa4ec39cc1639cc427f0d00b5a1df855feba3e6,p04-angled-footprint-outside,negative,negative_adjudicated
56,IMG_007626,aa93382d3872cf38843388e36afd0119a8d72e98e4244118048a828abba47f0a,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007626.png,aa93382d3872cf38843388e36afd0119a8d72e98e4244118048a828abba47f0a,p04-angled-footprint-outside,negative,negative_adjudicated
57,IMG_007644,1059ab4a00bd615a866389b6fb68f64782dc13698d14f6bb344514f71c58b7ea,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007644.png,1059ab4a00bd615a866389b6fb68f64782dc13698d14f6bb344514f71c58b7ea,p04-angled-footprint-outside,negative,negative_adjudicated
58,IMG_007583,541d9de1bdf92c75bdd9d689062753ec8f49f21038963cbd62afa91428e7b5de,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007583.png,541d9de1bdf92c75bdd9d689062753ec8f49f21038963cbd62afa91428e7b5de,p02-cross-single-boundary-line,negative,negative_adjudicated
59,IMG_007593,cd5e8f47b91c0c7e5051d1f9bb5e6a95ec02a197a66bfb234ef886b385d6ce63,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007593.png,cd5e8f47b91c0c7e5051d1f9bb5e6a95ec02a197a66bfb234ef886b385d6ce63,p02-cross-single-boundary-line,negative,negative_adjudicated
60,IMG_007664,85c36cc890c4d967ee2f83a7432a00c10149a7a1522c1f7569ed776bf178417e,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007664.png,85c36cc890c4d967ee2f83a7432a00c10149a7a1522c1f7569ed776bf178417e,p05-multi-vehicle-at-least-one-violation,negative,negative_adjudicated
61,IMG_007322,4637690af777a63302a78904d8d7c9ec0bbf5ed4de0bc7fd6be11a185d698dc9,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007322.png,4637690af777a63302a78904d8d7c9ec0bbf5ed4de0bc7fd6be11a185d698dc9,hn01-gate-queue,secondary_gate_queue,gate_secondary
62,IMG_007343,17d41508f03896e6be2979d8d0fab41ddac4db4764d47332e0460a5e8953b848,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007343.png,17d41508f03896e6be2979d8d0fab41ddac4db4764d47332e0460a5e8953b848,hn01-gate-queue,secondary_gate_queue,gate_secondary
63,IMG_007321,1a9030f5890becb4d971e63490bd597baa3ca443e82cce3e657e52c52b2f8263,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007321.png,1a9030f5890becb4d971e63490bd597baa3ca443e82cce3e657e52c52b2f8263,hn01-gate-queue,secondary_gate_queue,gate_secondary
64,IMG_007326,acadd4c3f2591db383a714c3f755466bc550b3d41effafc2dc8e33238c34740c,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007326.png,acadd4c3f2591db383a714c3f755466bc550b3d41effafc2dc8e33238c34740c,hn01-gate-queue,secondary_gate_queue,gate_secondary
65,IMG_007337,18fac90cca01f0d47ecb2b49ca4be90825e42961de9d137f8afa7e30a3eb4744,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007337.png,18fac90cca01f0d47ecb2b49ca4be90825e42961de9d137f8afa7e30a3eb4744,hn01-gate-queue,secondary_gate_queue,gate_secondary
66,IMG_007329,4c35aa30c3e6f91ff96a1e9a241f83c8b641ce8848d416c6cbea432c15a1d20c,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007329.png,4c35aa30c3e6f91ff96a1e9a241f83c8b641ce8848d416c6cbea432c15a1d20c,hn01-gate-queue,secondary_gate_queue,gate_secondary
67,IMG_007335,f73e208308694a8649951e4af0e9d1e7bac401c2d84f45c29abb93f839ba4a3d,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007335.png,f73e208308694a8649951e4af0e9d1e7bac401c2d84f45c29abb93f839ba4a3d,hn01-gate-queue,secondary_gate_queue,gate_secondary
68,IMG_007327,8c6a815148272f0e5e7437dc4b702e4570aa3917ebe023f284a9f5fa66d92688,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007327.png,8c6a815148272f0e5e7437dc4b702e4570aa3917ebe023f284a9f5fa66d92688,hn01-gate-queue,secondary_gate_queue,gate_secondary
69,IMG_007348,811995a29ace32e6446ea2fa97bd9835db5b19c706746e280a47fa084a1ea155,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007348.png,811995a29ace32e6446ea2fa97bd9835db5b19c706746e280a47fa084a1ea155,hn01-gate-queue,secondary_gate_queue,gate_secondary
70,IMG_007334,01298aead601e68833086750e340d126205a6b3994975e5d4307f96eeb46db5b,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007334.png,01298aead601e68833086750e340d126205a6b3994975e5d4307f96eeb46db5b,hn01-gate-queue,secondary_gate_queue,gate_secondary
