source_id,slug,file_stem,group_key,scenario_id,role,event_label,split,image_path,prompt_path,sha256,width,height
11,pov-b1-0011-p01-outside-legal-bay-clear-front-left,011_pov-b1-0011-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/011_pov-b1-0011-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/011_pov-b1-0011-p01-outside-legal-bay-clear-front-left.txt,b8507d3968990975963936bd9112c102ea91f8d6ee5f6860c382f3534920506f,1920,1080
12,pov-b1-0012-p01-outside-legal-bay-clear-front-right,012_pov-b1-0012-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/012_pov-b1-0012-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/012_pov-b1-0012-p01-outside-legal-bay-clear-front-right.txt,ad38ad7ee4e9725af3c640552f17acc6c63b0aa98be7acdf90f9d8007c8cad1b,1920,1080
13,pov-b1-0013-p01-outside-legal-bay-clear-front-center,013_pov-b1-0013-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/013_pov-b1-0013-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/013_pov-b1-0013-p01-outside-legal-bay-clear-front-center.txt,4afd38d31893fb9de8fab0cc246643a0c7019bfbbd2961f66cecabc4d6ab0f31,1920,1080
14,pov-b1-0014-p01-outside-legal-bay-clear-front-left,014_pov-b1-0014-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/014_pov-b1-0014-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/014_pov-b1-0014-p01-outside-legal-bay-clear-front-left.txt,b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,1920,1080
15,pov-b1-0015-p01-outside-legal-bay-clear-front-right,015_pov-b1-0015-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/015_pov-b1-0015-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/015_pov-b1-0015-p01-outside-legal-bay-clear-front-right.txt,47bbb813df0ec3ddce5ccabf718efd3f8ff1525ca077bf9e3b506dbd04783656,1920,1080
16,pov-b1-0016-p01-outside-legal-bay-clear-front-center,016_pov-b1-0016-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/016_pov-b1-0016-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/016_pov-b1-0016-p01-outside-legal-bay-clear-front-center.txt,482bb14355c7906d97f027b7b4309cc0c5dc1ebcee2645df1107d5cb418869ac,1920,1080
17,pov-b1-0017-p01-outside-legal-bay-clear-front-left,017_pov-b1-0017-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/017_pov-b1-0017-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/017_pov-b1-0017-p01-outside-legal-bay-clear-front-left.txt,ff8320b9fa229dbe4fb3bf943b793c1800c1922365781e5ddd47404f7e84c780,1920,1080
18,pov-b1-0018-p01-outside-legal-bay-clear-front-right,018_pov-b1-0018-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/018_pov-b1-0018-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/018_pov-b1-0018-p01-outside-legal-bay-clear-front-right.txt,8df3e7b0927ae55040e21ba4ee2d152e36e647a438e3f3df7f7b708dcbf77813,1920,1080
19,pov-b1-0019-p01-outside-legal-bay-clear-front-center,019_pov-b1-0019-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/019_pov-b1-0019-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/019_pov-b1-0019-p01-outside-legal-bay-clear-front-center.txt,012a5130dcb865060ed547fe250f200d13d11a61adaa6435e2544adf84248ae0,1920,1080
20,pov-b1-0020-p01-outside-legal-bay-clear-front-left,020_pov-b1-0020-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/020_pov-b1-0020-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/020_pov-b1-0020-p01-outside-legal-bay-clear-front-left.txt,572a3f79d72d397f89f226fe37d07c975c7b526d73b5b008d0c5795b9910e3d4,1920,1080
21,pov-b1-0021-p01-outside-legal-bay-clear-front-right,021_pov-b1-0021-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/021_pov-b1-0021-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/021_pov-b1-0021-p01-outside-legal-bay-clear-front-right.txt,b098cc06023868902c46b0ea19b4a7a8e2fd450739d9f69a0144f037ae31643f,1920,1080
22,pov-b1-0022-p01-outside-legal-bay-clear-front-center,022_pov-b1-0022-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/022_pov-b1-0022-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/022_pov-b1-0022-p01-outside-legal-bay-clear-front-center.txt,59dcf300c58c78766d3446ae6b83b359a220b56659706ce7385c5053d3e471d3,1920,1080
23,pov-b1-0023-p01-outside-legal-bay-clear-front-left,023_pov-b1-0023-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/023_pov-b1-0023-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/023_pov-b1-0023-p01-outside-legal-bay-clear-front-left.txt,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6,1920,1080
24,pov-b1-0024-p01-outside-legal-bay-clear-front-right,024_pov-b1-0024-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/024_pov-b1-0024-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/024_pov-b1-0024-p01-outside-legal-bay-clear-front-right.txt,fc3ed29614f9ddaa059b1c63c12195be9c938924de18bdc061c4202411daaf29,1920,1080
26,pov-b1-0026-p01-outside-legal-bay-clear-front-left,026_pov-b1-0026-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/026_pov-b1-0026-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/026_pov-b1-0026-p01-outside-legal-bay-clear-front-left.txt,c246c7bb7f5a5d1f1788b5b0c2abdf6dd8c0f16ea40e6bde061d4e77d3e1767e,1920,1080
27,pov-b1-0027-p01-outside-legal-bay-clear-front-right,027_pov-b1-0027-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/027_pov-b1-0027-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/027_pov-b1-0027-p01-outside-legal-bay-clear-front-right.txt,8672578a0fad505fac5a631781f63dfe5d5439b3ffcc42e13f35267bf4058878,1920,1080
28,pov-b1-0028-p01-outside-legal-bay-clear-front-center,028_pov-b1-0028-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/028_pov-b1-0028-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/028_pov-b1-0028-p01-outside-legal-bay-clear-front-center.txt,4258c9ddfdf0fa5fd4490e5e20c0ce3b07244de0f782cbaf136e32f2c52c685d,1920,1080
29,pov-b1-0029-p01-outside-legal-bay-clear-front-left,029_pov-b1-0029-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/029_pov-b1-0029-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/029_pov-b1-0029-p01-outside-legal-bay-clear-front-left.txt,963a1794c8c5c7ca3f54267bcd2fc6c1c7bf0f8fd32286cf4d58edf6b5d7fe32,1920,1080
30,pov-b1-0030-p01-outside-legal-bay-clear-front-right,030_pov-b1-0030-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/030_pov-b1-0030-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/030_pov-b1-0030-p01-outside-legal-bay-clear-front-right.txt,4f17bdfd1fce16f4bd783575464ee74fabb2eb6ae988f25e84d044c3757ef010,1920,1080
31,pov-b1-0031-p01-outside-legal-bay-clear-front-center,031_pov-b1-0031-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/031_pov-b1-0031-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/031_pov-b1-0031-p01-outside-legal-bay-clear-front-center.txt,67aa0b565d19e0960719fd675a518ee02a6870494949f5eea5cfed212ec1608c,1920,1080
32,pov-b1-0032-p01-outside-legal-bay-clear-front-left,032_pov-b1-0032-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/032_pov-b1-0032-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/032_pov-b1-0032-p01-outside-legal-bay-clear-front-left.txt,5139a253b6d1ce8e79162844bc2560fcc29bf55dce700959e77d9e67c22eb95f,1920,1080
33,pov-b1-0033-p01-outside-legal-bay-clear-front-right,033_pov-b1-0033-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/033_pov-b1-0033-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/033_pov-b1-0033-p01-outside-legal-bay-clear-front-right.txt,3e649fb425db485aa2a92f42b71d46d2e1097e1060eacd886961c437d05915cc,1920,1080
34,pov-b1-0034-p01-outside-legal-bay-clear-front-center,034_pov-b1-0034-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/034_pov-b1-0034-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/034_pov-b1-0034-p01-outside-legal-bay-clear-front-center.txt,97932a55b037ccf310ae39eb1818d85f49ed164b4f599f90ee17b61ad5073694,1920,1080
35,pov-b1-0035-p01-outside-legal-bay-clear-front-left,035_pov-b1-0035-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/035_pov-b1-0035-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/035_pov-b1-0035-p01-outside-legal-bay-clear-front-left.txt,9efbabb42116c5404e59ea092da06ffb304eb6d4ab9da128bb146b8129384718,1920,1080
36,pov-b1-0036-p01-outside-legal-bay-clear-front-right,036_pov-b1-0036-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/036_pov-b1-0036-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/036_pov-b1-0036-p01-outside-legal-bay-clear-front-right.txt,34c443db5a3a90bccf980fc14a8a48f9275143c41dace05edeba2dfc7f9a3865,1920,1080
37,pov-b1-0037-p01-outside-legal-bay-clear-front-center,037_pov-b1-0037-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/037_pov-b1-0037-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/037_pov-b1-0037-p01-outside-legal-bay-clear-front-center.txt,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,1920,1080
38,pov-b1-0038-p01-outside-legal-bay-clear-front-left,038_pov-b1-0038-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/038_pov-b1-0038-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/038_pov-b1-0038-p01-outside-legal-bay-clear-front-left.txt,2d2c27149d5340b1810e71d7ee266ee662e9162fd33fe39a3b00327c6216efce,1920,1080
39,pov-b1-0039-p01-outside-legal-bay-clear-front-center,039_pov-b1-0039-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/039_pov-b1-0039-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/039_pov-b1-0039-p01-outside-legal-bay-clear-front-center.txt,49ead178a7d141750b6346a3db635367c4b60fb3eb6bc6c38df68af4f91ed134,1920,1080
40,pov-b1-0040-p01-outside-legal-bay-clear-front-left,040_pov-b1-0040-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/040_pov-b1-0040-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/040_pov-b1-0040-p01-outside-legal-bay-clear-front-left.txt,1e9b4b51182591cf840782316c7ea1cfce0cea6efc94092de7325bca41124439,1920,1080
41,pov-b1-0041-p02-cross-single-boundary-line-front-center,041_pov-b1-0041-p02-cross-single-boundary-line-front-center,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/041_pov-b1-0041-p02-cross-single-boundary-line-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/041_pov-b1-0041-p02-cross-single-boundary-line-front-center.txt,f2f4a8a8e9595db41a6d5815025c881c8b22b1e0d0e04ac8822528f6c4a76b7c,1920,1080
42,pov-b1-0042-p02-cross-single-boundary-line-front-left,042_pov-b1-0042-p02-cross-single-boundary-line-front-left,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/042_pov-b1-0042-p02-cross-single-boundary-line-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/042_pov-b1-0042-p02-cross-single-boundary-line-front-left.txt,a1709030715bf45e78216506f40ad352eeeb9c5d1f816802b697d28cbd4659ea,1920,1080
43,pov-b1-0043-p02-cross-single-boundary-line-front-right,043_pov-b1-0043-p02-cross-single-boundary-line-front-right,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/043_pov-b1-0043-p02-cross-single-boundary-line-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/043_pov-b1-0043-p02-cross-single-boundary-line-front-right.txt,fbf0840b5295eebd50448505300464dc7a2963b90f8b16709ec4a1b94e5a4ec5,1920,1080
44,pov-b1-0044-p02-cross-single-boundary-line-front-center,044_pov-b1-0044-p02-cross-single-boundary-line-front-center,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/044_pov-b1-0044-p02-cross-single-boundary-line-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/044_pov-b1-0044-p02-cross-single-boundary-line-front-center.txt,e98d3f068c7e7ff0d6a731ab924fff48d66316d0dcaf320ea721c3ee9aefb426,1920,1080
45,pov-b1-0045-p02-cross-single-boundary-line-front-left,045_pov-b1-0045-p02-cross-single-boundary-line-front-left,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/045_pov-b1-0045-p02-cross-single-boundary-line-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/045_pov-b1-0045-p02-cross-single-boundary-line-front-left.txt,c8a23e574214ae421807d2fae50f3617aeedd235a07f7cbc78550a4b384bc856,1920,1080
