config_family_index,media_id,group_key,selected_rank,target_decision,target_trigger,caused_frame_positive,strong_separator,strong_in_bay,geometry_candidate_count
1,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
1,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
1,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
1,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
1,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
1,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
1,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
1,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
1,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
2,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
2,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
2,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
2,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
2,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
2,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
2,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
2,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
2,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
2,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
2,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
2,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
2,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
3,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
3,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
3,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
3,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
3,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
3,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
3,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
3,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
3,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
3,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
3,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
3,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
3,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
4,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
4,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
4,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
4,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
4,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
4,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
4,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
4,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
4,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
4,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
4,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
4,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
4,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
5,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
5,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
5,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
5,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
5,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
5,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
5,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
5,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
5,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
5,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
5,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
5,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
5,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
6,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
6,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
6,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
6,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
6,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
6,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
6,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
6,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
6,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
6,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
6,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
6,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
6,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
7,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
7,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
7,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
7,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
7,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
7,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
7,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
7,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
7,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
7,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
7,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
7,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
7,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
8,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
8,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
8,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
8,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
8,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
8,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
8,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
8,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
8,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
8,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
8,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
8,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
8,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
9,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
9,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
9,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
9,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
9,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
9,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
9,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
9,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
9,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
9,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
9,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
9,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
9,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
10,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
10,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
10,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
10,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
10,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
10,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
10,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
10,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
10,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
10,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
10,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
10,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
10,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
11,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
11,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
11,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
11,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
11,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
11,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
11,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
11,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
11,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
11,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
11,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
11,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
11,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
12,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
12,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
12,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
12,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
12,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
12,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
12,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
12,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
12,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
12,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
12,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
12,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
12,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
13,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
13,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
13,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
13,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
13,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
13,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
13,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
13,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
13,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
13,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
13,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
13,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
13,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
14,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
14,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
14,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
14,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
14,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
14,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
14,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
14,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
14,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
14,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
14,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
14,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
