media_id,qwen_frame_positive,qwen_candidate_fraction,selected_target_count,candidate_count,qwen_frame_decision
IMG_007500,0.0,0.0,1,0,negative
IMG_007503,0.0,0.0,1,0,negative
IMG_007506,0.0,0.0,1,0,negative
IMG_007507,0.0,0.0,1,0,negative
IMG_007508,0.0,0.0,2,0,negative
IMG_007509,0.0,0.0,1,0,negative
IMG_007511,0.0,0.0,2,0,negative
IMG_007512,0.0,0.0,1,0,negative
IMG_007514,0.0,0.0,1,0,negative
IMG_007516,0.0,0.0,1,0,negative
IMG_007517,0.0,0.0,1,0,negative
IMG_007519,0.0,0.0,1,0,negative
IMG_007520,1.0,1.0,1,1,positive
IMG_007521,1.0,1.0,1,1,positive
IMG_007527,1.0,1.0,2,2,positive
IMG_007530,1.0,1.0,2,2,positive
IMG_007531,1.0,1.0,1,1,positive
IMG_007533,0.0,1.0,1,1,negative
IMG_007534,1.0,1.0,1,1,positive
IMG_007539,1.0,1.0,1,1,positive
IMG_007541,1.0,1.0,1,1,positive
IMG_007542,1.0,1.0,1,1,positive
IMG_007547,1.0,1.0,1,1,positive
IMG_007548,0.0,0.0,1,0,negative
IMG_007549,1.0,1.0,1,1,positive
IMG_007552,1.0,1.0,1,1,positive
IMG_007554,1.0,1.0,1,1,positive
IMG_007555,1.0,1.0,1,1,positive
IMG_007556,1.0,1.0,2,2,positive
IMG_007558,1.0,1.0,1,1,positive
IMG_007559,1.0,1.0,1,1,positive
IMG_007560,1.0,0.5,2,1,positive
IMG_007562,1.0,1.0,1,1,positive
IMG_007564,1.0,1.0,1,1,positive
IMG_007571,0.0,0.0,1,0,negative
IMG_007575,1.0,1.0,1,1,positive
IMG_007577,0.0,0.0,2,0,negative
IMG_007580,1.0,1.0,1,1,positive
IMG_007581,1.0,1.0,2,2,positive
IMG_007584,1.0,1.0,1,1,positive
IMG_007585,1.0,0.5,2,1,positive
IMG_007586,1.0,1.0,1,1,positive
IMG_007587,1.0,1.0,2,2,positive
IMG_007588,0.0,0.0,2,0,negative
IMG_007592,0.0,0.0,1,0,negative
IMG_007593,1.0,1.0,1,1,positive
IMG_007594,0.0,0.0,1,0,negative
IMG_007598,1.0,1.0,1,1,positive
IMG_007601,1.0,1.0,1,1,positive
IMG_007602,1.0,1.0,1,1,positive
IMG_007603,0.0,0.0,2,0,negative
IMG_007606,0.0,0.0,2,0,negative
IMG_007608,0.0,0.0,1,0,negative
IMG_007609,0.0,0.0,1,0,negative
IMG_007611,0.0,0.0,1,0,negative
IMG_007612,0.0,0.0,1,0,negative
IMG_007614,0.0,0.0,1,0,negative
IMG_007617,1.0,1.0,1,1,positive
IMG_007618,0.0,0.0,1,0,negative
IMG_007626,0.0,0.0,1,0,negative
IMG_007627,0.0,0.0,1,0,negative
IMG_007631,1.0,1.0,1,1,positive
IMG_007632,0.0,0.0,1,0,negative
IMG_007634,1.0,1.0,2,2,positive
IMG_007635,0.0,0.0,1,0,negative
IMG_007637,0.0,0.0,1,0,negative
IMG_007642,1.0,0.5,2,1,positive
IMG_007643,0.0,0.0,1,0,negative
IMG_007646,0.0,0.0,1,0,negative
IMG_007647,1.0,0.5,2,1,positive
IMG_007648,0.0,0.0,1,0,negative
IMG_007650,0.0,0.0,2,0,negative
IMG_007652,0.0,0.0,2,0,negative
IMG_007654,1.0,0.5,2,1,positive
IMG_007655,1.0,0.5,2,1,positive
IMG_007656,0.0,0.0,2,0,negative
IMG_007658,1.0,1.0,1,1,positive
IMG_007659,1.0,0.5,2,1,positive
IMG_007661,1.0,0.5,2,1,positive
IMG_007665,0.0,0.0,2,0,negative
IMG_007667,0.0,0.0,1,0,negative
IMG_007672,1.0,1.0,1,1,positive
IMG_007673,0.0,0.0,2,0,negative
IMG_007674,0.0,0.0,1,0,negative
IMG_007675,0.0,0.0,1,0,negative
IMG_007676,1.0,1.0,1,1,positive
