media_id,selected_rank,image_path,bbox,view_a_sha
IMG_007370,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007370__r01.jpg,"[485.394,187.227,1400.677,869.86]",6510031d7f485911f4bdfe990f2c4fd149503b0342099ecac864679bfad0dbd4
IMG_007371,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007371__r01.jpg,"[358.052,149.789,1376.304,813.684]",4508c85534487ef01d95105bc9792eb86c2c101183d6595c44a0c2131f397a7b
IMG_007374,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007374__r01.jpg,"[377.385,64.958,1430.588,788.182]",d8898a3f8bf1a5113e845d482cc765cad1aa76c8ffd49bb245d50744483ba46c
IMG_007377,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007377__r01.jpg,"[559.242,229.09,1555.371,786.462]",4f500d77d000ef0ff444735cec035647c7d58f8d88bff4c38d454622c63cbcfb
IMG_007379,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007379__r01.jpg,"[398.115,43.474,1509.594,737.34]",eccee00962a6fc2ee58280975fb9b8e254f2b0ffb20a5c100f044de4f31d5d33
IMG_007383,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007383__r01.jpg,"[522.173,92.758,1330.509,764.22]",ef2b229df4457635e53ef2c009126fd3bbea19f86cd9273c714ffaf2c80ede4a
IMG_007383,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007383__r02.jpg,"[525.411,256.077,1327.517,760.403]",d25d8bbdb0a1381f33846cd3be60ca0fe5196e8761e14c66a17362e988187184
IMG_007384,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007384__r01.jpg,"[380.098,90.078,1545.355,866.4]",cb177e76151f6025f31b13ee4bc75bff69af216a94c625e9b2ca4992f077d127
IMG_007385,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007385__r01.jpg,"[379.408,131.521,1482.066,849.891]",0f40d61574ce1499ba6b67b6ec335a6cee9c9caaed5c8e42bc019191fda0f040
IMG_007388,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007388__r01.jpg,"[488.42,200.034,1385.829,885.899]",76bee762a9838f3fbf1653056c926947a4a3f5d96ec3faa6c0b6a6bb4bced828
IMG_007389,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007389__r01.jpg,"[512.185,151.877,1565.284,797.376]",a18c99e4e8c75bed14282d957e1597a667079b90531ab8da4961c95298211cef
IMG_007392,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007392__r01.jpg,"[504.002,181.538,1352.745,645.653]",4acbe76ff34603116893ff74b75ba36ad32a69b8ad307472a40af6a05ffc8695
IMG_007393,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007393__r01.jpg,"[695.353,64.715,1228.381,480.342]",9b3eaa16601262deda79ed41366764f23291f268fe908451ee21fb880ff95fca
IMG_007394,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007394__r01.jpg,"[516.455,237.24,1338.368,616.955]",32f6e58fc24e9501b4a723ad7d234b18a7c61beaef9e433840fd1a4ef9273e2c
IMG_007396,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007396__r01.jpg,"[594.421,203.39,1287.154,755.627]",8bf6ff11f1378f2c1211b3351c551eec184afadb164e200121db9d9f90822d70
IMG_007396,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007396__r02.jpg,"[1.13,243.562,421.286,776.499]",90c0eccaf074372b8c3163d9020ecd301b7d5b61dc0eeddadc3b00ddbe0e5790
IMG_007399,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007399__r01.jpg,"[522.168,199.429,1388.287,677.514]",757b0ac62bf7efe922ca01481f244b67c9372218f7a751c2e716b1ff22de29d2
IMG_007400,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007400__r01.jpg,"[592.858,136.16,1190.752,742.506]",f73f57b965321e24d6547832c23a1bf54e88a843b722b81fbefff8154cbd4e31
IMG_007404,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007404__r01.jpg,"[581.999,250.291,1409.614,771.255]",0c6fe0b49c01629abdc4b361dc736a5d6f861c80bb5bae8e5f966539a5716a1d
IMG_007404,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007404__r02.jpg,"[584.057,252.461,1409.364,767.337]",d849ed85670f934e8a5c13419ac2f9ade296c0ce389ef3a62ec32e58ed4e367b
IMG_007406,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007406__r01.jpg,"[580.229,88.304,1342.86,684.184]",23b3a45daa405a1960846d97d72a4241de9663f34e5c16f6accf795aed0d457c
IMG_007407,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007407__r01.jpg,"[340.753,101.224,1480.574,813.034]",4a9de5582bc7c229f39f3a187b4e0901f8b037feeab34a3b79447b795f597ba6
IMG_007410,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007410__r01.jpg,"[598.939,320.729,1464.058,782.408]",f2c8315398f1b1c7023ca0902f0fc569864264844606a1b2c87ed5dc4c2dec4f
IMG_007413,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007413__r01.jpg,"[546.967,220.067,1452.919,727.948]",37601bbd00e2879dabfccacd3f3c19c1bd320836abcdd3073f5c6e3e5126f3a8
IMG_007413,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007413__r02.jpg,"[1289.854,187.029,1918.805,628.795]",cc3a7abb652740f87600fb8a314407528bbe5634dfb52bd5699a055b407de113
IMG_007415,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007415__r01.jpg,"[688.837,254.178,1301.733,732.058]",933e4a4e5b2dacf94c8c7da2cfa7618ed30b63250280323b6f5208c04b55103c
IMG_007416,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007416__r01.jpg,"[583.931,202.278,1371.593,622.737]",6cd5d14b2259c062eb935a6190c9626b4759834b92d6cd3090ee92278b291e7e
IMG_007417,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007417__r01.jpg,"[472.231,284.802,1346.2,746.534]",6d8c77ad55490c04e1d0be9eae10b340aae30b8f1fee6f905758a3ab4f89e66c
IMG_007419,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007419__r01.jpg,"[686.62,357.807,1389.565,764.916]",3869ecadfccb437181660436b0b3043a67806532a5ae3b81c6fe73440343dff4
IMG_007419,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007419__r02.jpg,"[1322.367,420.445,1918.537,704.761]",4ed97bb38b214a3c87899795d5116a427748a5308a2f525396d07d8da178fa63
IMG_007421,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007421__r01.jpg,"[668.209,275.393,1255.133,765.97]",da69a1965ede5ce93fc4945a26bcac254aa7dcbcbf6a38c48266a4035d7a8187
IMG_007421,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007421__r02.jpg,"[1.027,360.735,396.926,805.905]",823c3a3b79623ebc0a80ae6f84b91f75317880cef1090fa1fd4957dfacdd2672
IMG_007422,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007422__r01.jpg,"[357.156,99.446,1261.991,689.932]",244851eb4c56956e7fe94f770ca56bc70c86bfec37a8340d86389a8e44c4b689
IMG_007424,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007424__r01.jpg,"[685.283,245.858,1245.758,733.406]",69b758eacb5ede44106b5b8628af1e7fb417a74f02421a8e2919555ceef5cd8e
IMG_007425,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007425__r01.jpg,"[592.925,318.074,1511.929,773.599]",fdc754383506acf6ef9637efd7c112ac483942641ccf7f812cc865da41ab6e19
IMG_007427,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007427__r01.jpg,"[654.342,216.05,1165.766,752.841]",74874f1f4a2641ba36f4b5070c0c991e0f659a368701648cccd696bf44ad75a2
IMG_007427,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007427__r02.jpg,"[654.829,218.365,1163.136,750.368]",409936d6b14ac6e9b6e66ee7253b8ebce5612e64d9c8604879e5ff868e6efabc
IMG_007429,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007429__r01.jpg,"[399.223,112.814,1468.503,825.088]",9533b15fb56a14372a0bff6c3225c477615ab806cea653ba4a20d746f7d75c08
IMG_007429,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007429__r02.jpg,"[396.703,118.911,1470.17,822.428]",76dcafb2ec2880f65abef1b17c86d84d74c463c1efcdc6eeebd5a90c8447ca0f
IMG_007433,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007433__r01.jpg,"[723.857,224.159,1357.29,731.016]",3daa2f9420a00e9c84a1be757ca81437828bb789f63b1445a8234a995c1868af
IMG_007434,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007434__r01.jpg,"[506.595,217.309,1417.607,816.654]",b590a64547846d9963cac48e4a883992c2fba237a6d921936e585932e5354c26
IMG_007437,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007437__r01.jpg,"[552.915,62.692,1505.099,754.555]",e6acb5f9160e76949590249485f3e82726ef7ee739f561c5c765f01c85397bdd
IMG_007439,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007439__r01.jpg,"[664.014,238.516,1240.092,675.296]",02d0c0893eda86c145730a84f3f15b19d8d36ff6786edf600e57930a142ee947
IMG_007440,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007440__r01.jpg,"[427.222,251.519,1325.914,832.492]",e528d95924cf1e263c16fb615c89dbae55746078d5f9c0d3e517daa3d2e4b4ba
IMG_007441,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007441__r01.jpg,"[560.658,78.036,1443.956,668.863]",d7fb7e26f96402ce9aa6fad8c4f89749ba3aa0b6ab35251f981493a67a7b43ec
IMG_007442,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007442__r01.jpg,"[591.497,121.357,1442.739,866.167]",6a909498fda69c3783b5d47994f3eb9890563f3c1d2ce95c79df8f2fe6518ca0
IMG_007444,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007444__r01.jpg,"[194.71,42.225,1350.317,805.393]",4aa3a69f37de7b8826ea5308fcd75112fb2f21e4fe5dcae70a55a9dd09568a5d
IMG_007445,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007445__r01.jpg,"[587.94,146.82,1193.024,681.555]",da4862614ab7b9436c7a88fdb09b270f210d8b12d4f87e86e30a4dd1c1c6debf
IMG_007445,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007445__r02.jpg,"[587.536,148.156,1192.087,681.67]",43b4eb838ff230eff68bc15959170bad429950c738ca41f04c96229743c2b152
IMG_007449,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007449__r01.jpg,"[386.433,1.677,1672.369,813.529]",b38b457b70748352e8e67f6f81158807cd2eaae63d1827f7b66f2908d89b6208
IMG_007450,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007450__r01.jpg,"[551.435,169.836,1445.386,743.58]",d7a4b1383ed0505e58c575884bb04965cf40943c2824e4361f4044b5f2fe5c78
IMG_007454,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007454__r01.jpg,"[344.847,56.076,1281.194,751.324]",522a3bb8a83ffd17e9b17cde60e8d0c2bdf4fafede5b61cc52f890e0ebcba255
IMG_007455,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007455__r01.jpg,"[721.937,225.199,1224.665,683.553]",1e150b741bb548fe4c9e39f11b4311bd88882f1b0a145042d58aaa5650d77a49
IMG_007457,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007457__r01.jpg,"[516.922,310.965,1431.741,812.833]",8674fe3b409cc73315e1cc524a72b7a5378ea332b13ef5b668705e9c18b75cd0
IMG_007457,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007457__r02.jpg,"[516.335,312.566,1431.209,813.327]",5864327ad5b363d1312c6f6b46b579018c18823a92f6604e827ee3b5c51a18ab
IMG_007460,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007460__r01.jpg,"[593.517,250.713,1384.621,752.459]",47c64d4ae0c48337c6b2333cedbd1a86669f623bee183967d6c62f339b2114c2
IMG_007463,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007463__r01.jpg,"[383.989,196.457,1484.321,769.97]",5fa0f5762a4de6c30a3e002fbdd448596aa6e4e1d7a95e5be8925cc32dd78db8
IMG_007463,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007463__r02.jpg,"[1.123,163.765,863.43,541.677]",0f3c99495d3f707ff9b33877d10e4cfe914b860aaca6999d5f03589a15e7ce87
IMG_007465,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007465__r01.jpg,"[351.581,142.859,1621.789,670.654]",6a30b043a810edb75f648ec9d961ff63ca90c7113d2ee04bcbf72d47c525c42a
IMG_007466,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007466__r01.jpg,"[337.637,221.782,1330.312,751.682]",7ce2086bf03d3b2ba69a05972335f0715dca33801eb1e50d263a296e0c97a873
IMG_007467,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007467__r01.jpg,"[667.907,153.588,1393.408,605.249]",6d0eb86acddbf9b31f01ac658d998b2cdedd1ae124485fe6fd8ba8417b3b382e
IMG_007467,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007467__r02.jpg,"[1571.085,146.877,1918.896,649.529]",a44afd0c094d82deff70b04bf392c32b1f1d212609d2d80d219b7dda253fc218
IMG_007468,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007468__r01.jpg,"[540.302,86.402,1437.797,586.488]",3c06bd598c23d9017ec8abc9ade1018601adb06ab8e38e88d249b0c8565d254a
IMG_007469,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007469__r01.jpg,"[671.428,250.199,1576.684,752.794]",93811ab31b3d1fae357d361db2528544d2640d9d00d7d4d27f4adad553526bdc
IMG_007470,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007470__r01.jpg,"[635.814,183.76,1254.787,726.043]",cd8d3affff5f479b03a7a2d41faa2fe9623889260839b682d08081b5910cb0fe
IMG_007471,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007471__r01.jpg,"[552.531,242.358,1326.412,657.032]",874802bc5fe34a719dfdd2788783cecf517b79661f45a3521842aef235b06d0a
IMG_007473,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007473__r01.jpg,"[566.377,316.828,1441.048,649.259]",dd68d24c36cc944621edf7a237accc474873d3804da4255642e589552a47d8c2
IMG_007475,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007475__r01.jpg,"[395.344,201.03,1383.085,762.802]",74b97e2583f48e173c93f609397de1eaabbfe36c43e7f684ad6b1e76edfbcbab
IMG_007477,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007477__r01.jpg,"[666.797,220.848,1577.799,698.588]",c5a3c3ca2b9188290420d44768661108e42b6b8a476f7503d8af82033ccf7308
IMG_007479,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007479__r01.jpg,"[734.188,266.756,1202.124,758.601]",d6cf5bb57de7f9cf3e094d18cacffd82cb5a6fece8c32546da0fa5576956c164
IMG_007480,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007480__r01.jpg,"[454.69,55.342,1334.799,611.691]",385d538950dc3cdac4bb2b30cf578fdc65fdafd6abb216f655e0d438abdf3c60
IMG_007480,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007480__r02.jpg,"[456.4,56.745,1335.292,609.325]",e7da3d1d5f8876691a5d6ae4a4ba64f5468e34f8f3c4c9e5fc46b0af3ba7ee8f
IMG_007482,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007482__r01.jpg,"[628.076,251.026,1186.058,727.084]",0149bee24449e3331357bb97b6cb15e7a0918029d9b27385418db3920d6c2b51
IMG_007482,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007482__r02.jpg,"[625.827,251.8,1185.27,725.601]",c101b8854108a06bc906e97e7baee40ac96f7149dc776c9ca90e5032f4d8cf0d
IMG_007484,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007484__r01.jpg,"[436.888,187.649,1430.216,700.157]",8b28a89423aff51e67c21896113a8802a3eb4ee5d600abd7c814fe29cb57d869
IMG_007485,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007485__r01.jpg,"[112.422,236.703,770.874,631.214]",a650e86d60e7d81c6c3a7c4ed684b9621affd1c900fbe8db89645aec9e40abc4
IMG_007485,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007485__r02.jpg,"[1215.187,258.961,1817.82,642.244]",6b1835999b5823f252a952630715674cfdd179bc878a785ac0f56e19db4ba334
IMG_007487,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007487__r01.jpg,"[649.345,153.032,1683.375,724.315]",d9d712aba9f6dcc145b0d11ade43437b6df9b9f240d25d1d3998ba669fb3ab1f
IMG_007487,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007487__r02.jpg,"[244.89,206.089,989.445,566.418]",27023020c96430efe0c8a19d13064649fad1ded6e16663d556eb508e55489794
IMG_007488,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007488__r01.jpg,"[798.464,294.287,1291.413,709.61]",87c5360cb6f5000e0803f728f93b3b04c61333ff49fb863d79079858a82f9be0
IMG_007488,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007488__r02.jpg,"[1520.09,301.284,1918.809,616.494]",58f5b186f0733629fe4109e4b14e7c432f3d91b3b703736db8c207480b529cd0
IMG_007491,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007491__r01.jpg,"[1200.453,335.26,1588.263,592.159]",642414c7ee07df9990317798a11d01c95cc26bfd3116d1cdc8dc90a5d0e9bfaa
