pilot_slot,group_prefix,selection_rank,media_id,group_key,split,image_sha256,relative_path,absolute_path,cache_key_sha256
p01-11,p01,11,IMG_007529,p01-outside-legal-bay-clear,DEV,ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07
p01-12,p01,12,IMG_007542,p01-outside-legal-bay-clear,DEV,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007542.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007542.png,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6
p03-01,p03,1,IMG_007620,p03-span-two-bays,DEV,aa1a054f53554e3cef1dab60604b3bca6011e95d443b5f78d604cf4babcdd374,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007620.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007620.png,aa1a054f53554e3cef1dab60604b3bca6011e95d443b5f78d604cf4babcdd374
p03-02,p03,2,IMG_007598,p03-span-two-bays,DEV,3187844b1789cf8fd2e859424b78e02d7d817e0a8d2ac2a9954625abfc217217,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007598.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007598.png,3187844b1789cf8fd2e859424b78e02d7d817e0a8d2ac2a9954625abfc217217
p03-03,p03,3,IMG_007594,p03-span-two-bays,DEV,52fecb2cfdc2a375990b44ceadd6a0328e734844b7f80e0b820e966778e1d0b1,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007594.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007594.png,52fecb2cfdc2a375990b44ceadd6a0328e734844b7f80e0b820e966778e1d0b1
p03-04,p03,4,IMG_007599,p03-span-two-bays,DEV,b7394782827a2372ed408429b1a7339ece7e7f20b9430d4f004e813f883cb25b,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007599.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007599.png,b7394782827a2372ed408429b1a7339ece7e7f20b9430d4f004e813f883cb25b
p03-05,p03,5,IMG_007603,p03-span-two-bays,DEV,7c54e1ed5972188c181242becb7170c5f33bb966e7bca852ce209dadfe278bf4,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007603.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007603.png,7c54e1ed5972188c181242becb7170c5f33bb966e7bca852ce209dadfe278bf4
p03-06,p03,6,IMG_007601,p03-span-two-bays,DEV,635e5c52f6a69bbc108df9de7227484b8c42d9aa6b9d3b76fc996483594c806c,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007601.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007601.png,635e5c52f6a69bbc108df9de7227484b8c42d9aa6b9d3b76fc996483594c806c
p03-07,p03,7,IMG_007612,p03-span-two-bays,DEV,b53ab51e67c6e4ca7a8e02874469dc3c0b7563c0d08cf91ec0c0e9c0d18f0af1,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007612.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007612.png,b53ab51e67c6e4ca7a8e02874469dc3c0b7563c0d08cf91ec0c0e9c0d18f0af1
p03-08,p03,8,IMG_007621,p03-span-two-bays,DEV,eb6200cb0efdaaac1b287d90fdf2a072c34eef2b48f330970cc61c1227f35846,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007621.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007621.png,eb6200cb0efdaaac1b287d90fdf2a072c34eef2b48f330970cc61c1227f35846
p03-09,p03,9,IMG_007617,p03-span-two-bays,DEV,bb9f96e8a24c76741e99cbcfb0bb0bbec45c15a731eb4003a50a8b49fc72be18,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007617.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007617.png,bb9f96e8a24c76741e99cbcfb0bb0bbec45c15a731eb4003a50a8b49fc72be18
p03-10,p03,10,IMG_007606,p03-span-two-bays,DEV,4c3161d0c72cc8aeffb0971eb4e719d82827cf4627386e3d07f770270aeb547e,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007606.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007606.png,4c3161d0c72cc8aeffb0971eb4e719d82827cf4627386e3d07f770270aeb547e
p03-11,p03,11,IMG_007602,p03-span-two-bays,DEV,98386e15dc5ef41f7e2573e8e5048834d0a4205aa29fc88875d3601fde598d34,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007602.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007602.png,98386e15dc5ef41f7e2573e8e5048834d0a4205aa29fc88875d3601fde598d34
p03-12,p03,12,IMG_007611,p03-span-two-bays,DEV,35a5959bc49b68d1c99d3b86dd493860ee4d8ec8bbfc852d8a8ca0f9cbe56363,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007611.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007611.png,35a5959bc49b68d1c99d3b86dd493860ee4d8ec8bbfc852d8a8ca0f9cbe56363
p05-01,p05,1,IMG_007650,p05-multi-vehicle-at-least-one-violation,DEV,707813ea7a7b2f00c73a07b4bda1a6467a0e6390bba6dfa883b1831d9dbd2739,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007650.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007650.png,707813ea7a7b2f00c73a07b4bda1a6467a0e6390bba6dfa883b1831d9dbd2739
p05-02,p05,2,IMG_007655,p05-multi-vehicle-at-least-one-violation,DEV,f2ae84613c6081fd7ad6517c3b54aee12af12e9ea22e99b023d785c59c2bbf84,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007655.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007655.png,f2ae84613c6081fd7ad6517c3b54aee12af12e9ea22e99b023d785c59c2bbf84
p05-03,p05,3,IMG_007652,p05-multi-vehicle-at-least-one-violation,DEV,051cf35297a38c1ad2ae3f3ff27c6de0d70e34101e77d06e4526557ab1c25d2c,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007652.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007652.png,051cf35297a38c1ad2ae3f3ff27c6de0d70e34101e77d06e4526557ab1c25d2c
p05-04,p05,4,IMG_007664,p05-multi-vehicle-at-least-one-violation,DEV,85c36cc890c4d967ee2f83a7432a00c10149a7a1522c1f7569ed776bf178417e,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007664.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007664.png,85c36cc890c4d967ee2f83a7432a00c10149a7a1522c1f7569ed776bf178417e
p05-05,p05,5,IMG_007658,p05-multi-vehicle-at-least-one-violation,DEV,b342ab3fa54b278ed3df9f1422768a78ef039394c61b9e83f29c4ed8df3c5e92,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007658.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007658.png,b342ab3fa54b278ed3df9f1422768a78ef039394c61b9e83f29c4ed8df3c5e92
p05-06,p05,6,IMG_007647,p05-multi-vehicle-at-least-one-violation,DEV,acb8803cbfb955dc0a72690c938c86f7ca8a561fcce3ede8e58514f288819b02,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007647.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007647.png,acb8803cbfb955dc0a72690c938c86f7ca8a561fcce3ede8e58514f288819b02
p05-07,p05,7,IMG_007665,p05-multi-vehicle-at-least-one-violation,DEV,99acaa870bcf567c9b87e27d38c472d6eae743614657842a19deed195379630b,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007665.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007665.png,99acaa870bcf567c9b87e27d38c472d6eae743614657842a19deed195379630b
p05-08,p05,8,IMG_007661,p05-multi-vehicle-at-least-one-violation,DEV,beaa3b6552e92a51eb1e0fd521dd742306700cd09b1fa722e379806b8f9c3cc0,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007661.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007661.png,beaa3b6552e92a51eb1e0fd521dd742306700cd09b1fa722e379806b8f9c3cc0
p02-01,p02,1,IMG_007580,p02-cross-single-boundary-line,DEV,2cc8d12dd6b689e39766a0cf398eccec256db57af4e3d795b29fbfe14123f0a7,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007580.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007580.png,2cc8d12dd6b689e39766a0cf398eccec256db57af4e3d795b29fbfe14123f0a7
p02-02,p02,2,IMG_007585,p02-cross-single-boundary-line,DEV,09919ee92ec0b250a631597105f6b82b093a9dabf191cd11e169c900658e1507,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007585.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007585.png,09919ee92ec0b250a631597105f6b82b093a9dabf191cd11e169c900658e1507
p02-03,p02,3,IMG_007570,p02-cross-single-boundary-line,DEV,564f57abeb11621386bd15d9a8794853f850271391be84a01e64d35f42eb0181,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007570.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007570.png,564f57abeb11621386bd15d9a8794853f850271391be84a01e64d35f42eb0181
p04-01,p04,1,IMG_007626,p04-angled-footprint-outside,DEV,aa93382d3872cf38843388e36afd0119a8d72e98e4244118048a828abba47f0a,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007626.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007626.png,aa93382d3872cf38843388e36afd0119a8d72e98e4244118048a828abba47f0a
p04-02,p04,2,IMG_007634,p04-angled-footprint-outside,DEV,a78e65dd12331a2134dfdd5400b7e3b4ae70c229265bd8be27b66107f2629770,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007634.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007634.png,a78e65dd12331a2134dfdd5400b7e3b4ae70c229265bd8be27b66107f2629770
p04-03,p04,3,IMG_007635,p04-angled-footprint-outside,DEV,28fae86953947d31b4608a02225f1ceb9e247b87ace70fb69e48403fba99eb71,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007635.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007635.png,28fae86953947d31b4608a02225f1ceb9e247b87ace70fb69e48403fba99eb71
p06-01,p06,1,IMG_007672,p06-nose-or-tail-intrudes-aisle,DEV,9725aa8099cea39db019c02b5379a87707c1942f7fd5406e29f4c999457d9b18,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007672.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007672.png,9725aa8099cea39db019c02b5379a87707c1942f7fd5406e29f4c999457d9b18
p06-02,p06,2,IMG_007673,p06-nose-or-tail-intrudes-aisle,DEV,e429453485e61c4e85cf969157ace0642c13ad6f110e4b309da44ff8bee507da,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007673.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007673.png,e429453485e61c4e85cf969157ace0642c13ad6f110e4b309da44ff8bee507da
n01-01,n01,1,IMG_007417,n01-standard-inside-bay,DEV,526c4f582dc4677d143ee9873c493204d768f976f56cf7844cf23d54f78d5f46,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007417.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007417.png,526c4f582dc4677d143ee9873c493204d768f976f56cf7844cf23d54f78d5f46
n02-01,n02,1,IMG_007450,n02-close-to-line-but-inside,DEV,dfcabcaf60309258982b2f14a2079537b4c0d67d831f2d2bd838649f9c4cbfca,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007450.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007450.png,dfcabcaf60309258982b2f14a2079537b4c0d67d831f2d2bd838649f9c4cbfca
n03-01,n03,1,IMG_007465,n03-diagonal-bay-correct,DEV,0173b785c086015179eebb31f75d19c6523d350e10c2924111c615bdc3566010,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007465.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007465.png,0173b785c086015179eebb31f75d19c6523d350e10c2924111c615bdc3566010
n04-01,n04,1,IMG_007470,n04-parallel-bay-correct,DEV,ffd96edec5b541b57c022e406a9df1206de9cd11f497f97b921590a4cb147d7a,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007470.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007470.png,ffd96edec5b541b57c022e406a9df1206de9cd11f497f97b921590a4cb147d7a
n05-01,n05,1,IMG_007499,n05-multiple-all-correct,DEV,5481b65b8fd23cc80f33c6488e0b419e2e97ec975ef79ac74197b76eb0c111ae,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007499.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007499.png,5481b65b8fd23cc80f33c6488e0b419e2e97ec975ef79ac74197b76eb0c111ae
n06-01,n06,1,IMG_007516,n06-special-marked-space-geometry-correct,DEV,d4ddb7ed1ecba9f8e9125fa7d6994a234347606d44522513a2c5c297c3739b99,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007516.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007516.png,d4ddb7ed1ecba9f8e9125fa7d6994a234347606d44522513a2c5c297c3739b99
hn04-01,hn04,1,IMG_007374,hn04-large-vehicle-compliant,DEV,c369b4fcc2fb3905a50f84157acad67f599709a39b497c2592005f22898db7b4,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007374.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007374.png,c369b4fcc2fb3905a50f84157acad67f599709a39b497c2592005f22898db7b4
hn06-01,hn06,1,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,DEV,644abcee17bedddc5b57b7e2f6241d7bdcafd6870043073405879da1936fa2c4,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007396.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007396.png,644abcee17bedddc5b57b7e2f6241d7bdcafd6870043073405879da1936fa2c4
hn01-01,hn01,1,IMG_007328,hn01-gate-queue,DEV,e21756f049ead7e77e259d9ba4ed7369db40e9ffe55a0c97e4e484923f79cc8e,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007328.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007328.png,e21756f049ead7e77e259d9ba4ed7369db40e9ffe55a0c97e4e484923f79cc8e
hn01-02,hn01,2,IMG_007346,hn01-gate-queue,DEV,2c36b5d0457dc0b06def434329cf8b10d6c10ec9026ce0f00bcf8452a5e04eca,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007346.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007346.png,2c36b5d0457dc0b06def434329cf8b10d6c10ec9026ce0f00bcf8452a5e04eca
hn01-03,hn01,3,IMG_007347,hn01-gate-queue,DEV,ef43e925f58c64765fd71b67d4621f91656afed05f4c84dc32cb0cf0b0462477,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007347.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007347.png,ef43e925f58c64765fd71b67d4621f91656afed05f4c84dc32cb0cf0b0462477
hn01-04,hn01,4,IMG_007326,hn01-gate-queue,DEV,acadd4c3f2591db383a714c3f755466bc550b3d41effafc2dc8e33238c34740c,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007326.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007326.png,acadd4c3f2591db383a714c3f755466bc550b3d41effafc2dc8e33238c34740c
hn01-05,hn01,5,IMG_007322,hn01-gate-queue,DEV,4637690af777a63302a78904d8d7c9ec0bbf5ed4de0bc7fd6be11a185d698dc9,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007322.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007322.png,4637690af777a63302a78904d8d7c9ec0bbf5ed4de0bc7fd6be11a185d698dc9
hn01-06,hn01,6,IMG_007340,hn01-gate-queue,DEV,64d2fbe4e310ae8115b2255e71585daebbed954bde03d8f46d6654c53105aa29,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007340.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007340.png,64d2fbe4e310ae8115b2255e71585daebbed954bde03d8f46d6654c53105aa29
u01-01,u01,1,IMG_007684,u01-insufficient-parking-visual-evidence,DEV,fef2749a59f5eb3e394e8b3c66ab81e3edac3aaed4a79db1ec9f29ef14815909,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007684.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007684.png,fef2749a59f5eb3e394e8b3c66ab81e3edac3aaed4a79db1ec9f29ef14815909
u01-02,u01,2,IMG_007682,u01-insufficient-parking-visual-evidence,DEV,aaa558499c3e5f6497d0c5d34b9e39e023fa64ef65859c2e422b6e867f93a24c,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007682.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007682.png,aaa558499c3e5f6497d0c5d34b9e39e023fa64ef65859c2e422b6e867f93a24c
u02-01,u02,1,IMG_007692,u02-markings-severely-missing-or-occluded,DEV,57661e34744042776016b742841431e6185af6983a67939ecf322987e50ceac6,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007692.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007692.png,57661e34744042776016b742841431e6185af6983a67939ecf322987e50ceac6
u03-01,u03,1,IMG_007702,u03-vehicle-cut-by-frame-edge,DEV,c8dc34276c63f0048a5b169d426bdbe112e190a95ab64284f30b000bd950195a,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007702.png,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007702.png,c8dc34276c63f0048a5b169d426bdbe112e190a95ab64284f30b000bd950195a
