media_id,outer_fold,p3_probability,qwen_frame_positive,qwen_candidate_fraction,p4_hybrid_probability
IMG_007471,3,0.4036020040512085,0.0,0.0,0.33074845643053796
IMG_007473,4,0.6875033974647522,1.0,1.0,0.7739749494525423
IMG_007475,1,0.300751268863678,0.0,0.0,0.2672151700949849
IMG_007477,0,0.7229950428009033,1.0,1.0,0.7647816684099897
IMG_007479,2,0.6165347099304199,0.0,0.0,0.4031655366565528
IMG_007480,3,0.10512562096118927,1.0,1.0,0.6150828182261773
IMG_007482,4,0.5951904058456421,0.0,0.0,0.4187146758651442
IMG_007484,1,0.6696121692657471,0.0,0.0,0.3925541843220866
IMG_007485,0,0.8502630591392517,0.0,0.0,0.4191063742880487
IMG_007487,2,0.5784751772880554,0.0,0.0,0.3685433110208842
IMG_007488,3,0.6770174503326416,0.0,0.0,0.3871898094281122
IMG_007491,4,0.6272487640380859,0.0,0.0,0.434204043310204
IMG_007492,2,0.6759563088417053,0.0,0.0,0.4590750486358336
IMG_007494,0,0.3298656940460205,0.0,0.0,0.28683346241689
IMG_007497,1,0.7189549207687378,0.0,0.0,0.4109490158114381
IMG_007498,4,0.3301578164100647,0.0,0.0,0.29908924616665084
IMG_007499,3,0.427819162607193,0.0,0.0,0.33558249199236373
IMG_007500,0,0.31523191928863525,0.0,0.0,0.2834837940373841
IMG_007503,1,0.8878816366195679,0.0,0.0,0.47552218498155474
IMG_007506,2,0.5930941700935364,0.0,0.0,0.3817038087847235
IMG_007507,3,0.6453434824943542,0.0,0.0,0.3804593391493243
IMG_007508,4,0.5714825391769409,0.0,0.0,0.4073603885394969
IMG_007509,0,0.7156410813331604,0.0,0.0,0.38281568557720547
IMG_007511,1,0.35285788774490356,0.0,0.0,0.2833376478664977
IMG_007512,2,0.6911309361457825,0.0,0.0,0.473578550817984
IMG_007514,4,0.46238645911216736,0.0,0.0,0.356539971837744
IMG_007516,3,0.5896388292312622,0.0,0.0,0.368734602983578
IMG_007517,0,0.19101513922214508,0.0,0.0,0.25602491678550143
IMG_007519,4,0.6000398993492126,0.0,0.0,0.4210482851285312
IMG_007520,1,0.6156163811683655,1.0,1.0,0.7671579260974692
IMG_007521,2,0.6694729924201965,1.0,1.0,0.8503354591977279
IMG_007527,3,0.4775870442390442,1.0,1.0,0.6906975442152327
IMG_007530,0,0.27283063530921936,1.0,1.0,0.6623026839346188
IMG_007531,1,0.731381356716156,1.0,1.0,0.7976897087181118
IMG_007533,3,0.7434083819389343,0.0,1.0,0.8389150822986243
IMG_007534,4,0.656236469745636,1.0,1.0,0.7629866607717267
IMG_007539,2,0.7575690746307373,1.0,1.0,0.8885081998471256
IMG_007541,0,0.44927212595939636,1.0,1.0,0.7051002050358985
IMG_007542,1,0.7570276260375977,1.0,1.0,0.8040342268341598
IMG_007547,3,0.4210403859615326,1.0,1.0,0.6797396657161501
IMG_007548,2,0.6738167405128479,0.0,0.0,0.4570351028645029
IMG_007549,4,0.6530495285987854,1.0,1.0,0.7618462239626481
IMG_007552,4,0.6431005001068115,1.0,1.0,0.7582617823950323
IMG_007554,0,0.41186484694480896,1.0,1.0,0.6962911788504874
IMG_007555,1,0.7236047387123108,1.0,1.0,0.7957358536065579
IMG_007556,2,0.7775023579597473,1.0,1.0,0.8958697324557349
IMG_007558,3,0.769665539264679,1.0,1.0,0.7437997815834351
IMG_007559,0,0.6341091394424438,1.0,1.0,0.7463545837656876
IMG_007560,4,0.5718071460723877,1.0,0.5,0.5445504072199661
IMG_007562,1,0.642673671245575,1.0,1.0,0.7745713191107296
IMG_007564,2,0.0819578468799591,1.0,1.0,0.3730191943231396
IMG_007571,3,0.6784262657165527,0.0,0.0,0.3874901958154752
IMG_007575,0,0.2999875545501709,1.0,1.0,0.6690890917646493
IMG_007577,1,0.7981678247451782,0.0,0.0,0.4409859592438959
IMG_007580,2,0.22488926351070404,1.0,1.0,0.5074202276042518
IMG_007581,4,0.19299370050430298,1.0,1.0,0.563151539238366
IMG_007584,3,0.28730013966560364,1.0,1.0,0.6530359716723346
IMG_007585,3,0.5398044586181641,1.0,0.5,0.45870704238755083
IMG_007586,0,0.04754997789859772,1.0,1.0,0.6036263558580963
IMG_007587,1,0.5645305514335632,1.0,1.0,0.7527035085454669
IMG_007588,2,0.11715621501207352,0.0,0.0,0.09027358406536766
IMG_007592,4,0.5080394148826599,0.0,0.0,0.377488120800597
IMG_007593,1,0.3826447129249573,1.0,1.0,0.6965507119794675
IMG_007594,0,0.37433135509490967,0.0,0.0,0.297155244984182
IMG_007598,2,0.445015013217926,1.0,1.0,0.7058139377527534
IMG_007601,3,0.5308864712715149,1.0,1.0,0.700833804704302
IMG_007602,4,0.7363559603691101,1.0,1.0,0.7904110034381486
IMG_007603,1,0.5195521116256714,0.0,0.0,0.33863685406015503
IMG_007606,0,0.6032296419143677,0.0,0.0,0.353464659327149
IMG_007608,2,0.2208203673362732,0.0,0.0,0.12873982957553942
IMG_007609,3,0.8872630596160889,0.0,0.0,0.4328491153772608
IMG_007611,4,0.8327990174293518,0.0,0.0,0.5352805123283813
IMG_007612,0,0.5297740697860718,0.0,0.0,0.3348500043673377
IMG_007614,1,0.42314210534095764,0.0,0.0,0.30598989146005284
IMG_007617,4,0.6792356967926025,1.0,1.0,0.771104859414573
IMG_007618,2,0.5644261240959167,0.0,0.0,0.35607737029764114
IMG_007626,3,0.5487468242645264,0.0,0.0,0.3602243891694721
IMG_007627,0,0.34901511669158936,0.0,0.0,0.2912522995898288
IMG_007631,2,0.4972529113292694,1.0,1.0,0.7456933948728952
IMG_007632,1,0.6713404655456543,0.0,0.0,0.3931936874230025
IMG_007634,4,0.4796130657196045,1.0,1.0,0.6942776921296663
IMG_007635,3,0.5087070465087891,0.0,0.0,0.3519757599668481
IMG_007637,0,0.5331991910934448,0.0,0.0,0.33570718888931594
IMG_007642,1,0.6688687205314636,1.0,0.5,0.6377148946757693
IMG_007643,2,0.42134663462638855,0.0,0.0,0.24195914470345015
IMG_007646,3,0.16918304562568665,0.0,0.0,0.28589090566839276
IMG_007647,4,0.8488371968269348,1.0,0.5,0.6739189027024791
IMG_007648,0,0.17686590552330017,0.0,0.0,0.2530102644457216
IMG_007650,1,0.7533811330795288,0.0,0.0,0.42393542684139945
IMG_007652,2,0.7634498476982117,0.0,0.0,0.5428886473724214
IMG_007654,3,0.08424940705299377,1.0,0.5,0.360115807822178
IMG_007655,4,0.2807186543941498,1.0,0.5,0.4021809602423485
IMG_007656,0,0.6929114460945129,0.0,0.0,0.37680353872182265
IMG_007658,1,0.5449380278587341,1.0,1.0,0.7470026596257545
IMG_007659,3,0.4672362506389618,1.0,0.5,0.4425668999668889
IMG_007661,2,0.7168611288070679,1.0,0.5,0.7431422965597339
IMG_007665,4,0.7241849303245544,0.0,0.0,0.48170412713010635
IMG_007667,0,0.647729218006134,0.0,0.0,0.3649659857114877
IMG_007672,1,0.4420761466026306,1.0,1.0,0.7156776782640416
IMG_007673,2,0.6289336085319519,0.0,0.0,0.4146752771123919
IMG_007674,3,0.19680146872997284,0.0,0.0,0.29098385417825273
IMG_007675,4,0.5412276983261108,0.0,0.0,0.39301451810142013
IMG_007676,0,0.43043550848960876,1.0,1.0,0.7006829423766121
