media_id,outer_fold,outer_validation_p3_probability
IMG_007507,3,0.6453434824943542
IMG_007508,4,0.5714825391769409
IMG_007509,0,0.7156410813331604
IMG_007511,1,0.35285788774490356
IMG_007512,2,0.6911309361457825
IMG_007514,4,0.46238645911216736
IMG_007516,3,0.5896388292312622
IMG_007517,0,0.19101513922214508
IMG_007519,4,0.6000398993492126
IMG_007520,1,0.6156163811683655
IMG_007521,2,0.6694729924201965
IMG_007527,3,0.4775870442390442
IMG_007530,0,0.27283063530921936
IMG_007531,1,0.731381356716156
IMG_007533,3,0.7434083819389343
IMG_007534,4,0.656236469745636
IMG_007539,2,0.7575690746307373
IMG_007541,0,0.44927212595939636
IMG_007542,1,0.7570276260375977
IMG_007547,3,0.4210403859615326
IMG_007548,2,0.6738167405128479
IMG_007549,4,0.6530495285987854
IMG_007552,4,0.6431005001068115
IMG_007554,0,0.41186484694480896
IMG_007555,1,0.7236047387123108
IMG_007556,2,0.7775023579597473
IMG_007558,3,0.769665539264679
IMG_007559,0,0.6341091394424438
IMG_007560,4,0.5718071460723877
IMG_007562,1,0.642673671245575
IMG_007564,2,0.0819578468799591
IMG_007571,3,0.6784262657165527
IMG_007575,0,0.2999875545501709
IMG_007577,1,0.7981678247451782
IMG_007580,2,0.22488926351070404
IMG_007581,4,0.19299370050430298
IMG_007584,3,0.28730013966560364
IMG_007585,3,0.5398044586181641
IMG_007586,0,0.04754997789859772
IMG_007587,1,0.5645305514335632
IMG_007588,2,0.11715621501207352
IMG_007592,4,0.5080394148826599
IMG_007593,1,0.3826447129249573
IMG_007594,0,0.37433135509490967
IMG_007598,2,0.445015013217926
IMG_007601,3,0.5308864712715149
IMG_007602,4,0.7363559603691101
IMG_007603,1,0.5195521116256714
IMG_007606,0,0.6032296419143677
IMG_007608,2,0.2208203673362732
IMG_007609,3,0.8872630596160889
IMG_007611,4,0.8327990174293518
IMG_007612,0,0.5297740697860718
IMG_007614,1,0.42314210534095764
IMG_007617,4,0.6792356967926025
IMG_007618,2,0.5644261240959167
IMG_007626,3,0.5487468242645264
IMG_007627,0,0.34901511669158936
IMG_007631,2,0.4972529113292694
IMG_007632,1,0.6713404655456543
IMG_007634,4,0.4796130657196045
IMG_007635,3,0.5087070465087891
IMG_007637,0,0.5331991910934448
IMG_007642,1,0.6688687205314636
IMG_007643,2,0.42134663462638855
IMG_007646,3,0.16918304562568665
IMG_007647,4,0.8488371968269348
IMG_007648,0,0.17686590552330017
IMG_007650,1,0.7533811330795288
IMG_007652,2,0.7634498476982117
IMG_007654,3,0.08424940705299377
IMG_007655,4,0.2807186543941498
IMG_007656,0,0.6929114460945129
IMG_007658,1,0.5449380278587341
IMG_007659,3,0.4672362506389618
IMG_007661,2,0.7168611288070679
IMG_007665,4,0.7241849303245544
IMG_007667,0,0.647729218006134
IMG_007672,1,0.4420761466026306
IMG_007673,2,0.6289336085319519
IMG_007674,3,0.19680146872997284
IMG_007675,4,0.5412276983261108
IMG_007676,0,0.43043550848960876
