source,row_index,audit_record
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,11,"{""image_id"": ""IMG_007536"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,12,"{""image_id"": ""IMG_007547"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,13,"{""image_id"": ""IMG_007547"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,14,"{""image_id"": ""IMG_007527"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,15,"{""image_id"": ""IMG_007527"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,16,"{""image_id"": ""IMG_007527"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,17,"{""image_id"": ""IMG_007527"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T05""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,18,"{""image_id"": ""IMG_007529"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,19,"{""image_id"": ""IMG_007620"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,20,"{""image_id"": ""IMG_007620"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T05""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,21,"{""image_id"": ""IMG_007598"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T02""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,22,"{""image_id"": ""IMG_007594"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,23,"{""image_id"": ""IMG_007594"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,24,"{""image_id"": ""IMG_007594"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T05""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,25,"{""image_id"": ""IMG_007599"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,26,"{""image_id"": ""IMG_007599"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,27,"{""image_id"": ""IMG_007603"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T02""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,28,"{""image_id"": ""IMG_007601"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T02""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,29,"{""image_id"": ""IMG_007601"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T08""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,30,"{""image_id"": ""IMG_007612"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T07""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,31,"{""image_id"": ""IMG_007612"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T09""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,32,"{""image_id"": ""IMG_007621"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T02""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,33,"{""image_id"": ""IMG_007621"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T06""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,34,"{""image_id"": ""IMG_007621"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T09""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,35,"{""image_id"": ""IMG_007621"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T10""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,36,"{""image_id"": ""IMG_007606"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T02""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,37,"{""image_id"": ""IMG_007606"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,38,"{""image_id"": ""IMG_007602"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,39,"{""image_id"": ""IMG_007650"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,40,"{""image_id"": ""IMG_007655"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,41,"{""image_id"": ""IMG_007655"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T05""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,42,"{""image_id"": ""IMG_007652"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,43,"{""image_id"": ""IMG_007652"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,44,"{""image_id"": ""IMG_007652"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T05""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,45,"{""image_id"": ""IMG_007658"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,46,"{""image_id"": ""IMG_007658"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,47,"{""image_id"": ""IMG_007647"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,48,"{""image_id"": ""IMG_007665"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,49,"{""image_id"": ""IMG_007661"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,50,"{""image_id"": ""IMG_007626"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,51,"{""image_id"": ""IMG_007626"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,52,"{""image_id"": ""IMG_007626"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T05""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,53,"{""image_id"": ""IMG_007634"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T02""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,54,"{""image_id"": ""IMG_007634"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,55,"{""image_id"": ""IMG_007634"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T07""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,56,"{""image_id"": ""IMG_007634"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T09""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,57,"{""image_id"": ""IMG_007635"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T06""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,58,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T07""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,59,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T09""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,60,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T10""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,61,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T11""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,62,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T12""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,63,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T13""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,64,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T15""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,65,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T16""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,66,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T17""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,67,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T18""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,68,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T19""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,69,"{""image_id"": ""IMG_007672"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T22""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,70,"{""image_id"": ""IMG_007465"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,71,"{""image_id"": ""IMG_007465"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T06""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,72,"{""image_id"": ""IMG_007465"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T07""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,73,"{""image_id"": ""IMG_007465"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T08""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,74,"{""image_id"": ""IMG_007516"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,75,"{""image_id"": ""IMG_007374"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,76,"{""image_id"": ""IMG_007396"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,77,"{""image_id"": ""IMG_007347"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,78,"{""image_id"": ""IMG_007322"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T02""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,79,"{""image_id"": ""IMG_007340"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T05""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,80,"{""image_id"": ""IMG_007684"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,81,"{""image_id"": ""IMG_007682"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,82,"{""image_id"": ""IMG_007702"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
