media_id,group_key,legacy_v2_gt,proposed_v2_2_gt,review_status,review_notes
IMG_007634,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007635,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007636,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007637,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007638,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007639,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007640,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007641,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007642,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007643,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007644,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007645,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007646,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007647,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007648,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007649,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007650,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007651,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007652,p05-multi-vehicle-at-least-one-violation,negative,,needs_human_review,
IMG_007653,p05-multi-vehicle-at-least-one-violation,negative,,needs_human_review,
IMG_007654,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007655,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007656,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007657,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007658,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007659,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007660,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007661,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007662,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007663,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007664,p05-multi-vehicle-at-least-one-violation,negative,,needs_human_review,
IMG_007665,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007666,p05-multi-vehicle-at-least-one-violation,positive,,needs_human_review,
IMG_007667,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007668,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007669,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007670,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007671,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007672,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007673,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007674,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007675,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
IMG_007676,p06-nose-or-tail-intrudes-aisle,negative,,needs_human_review,
