media_id,selected_rank,composite_path_local,composite_sha256,width,height,source_path,source_sha256,frozen_bbox,target_instance,crop_xyxy
IMG_007608,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007608_target1.jpg,d1750971dc583854de5cf595f758bd183469fd332b74acc8dc95869d51b734c4,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007608.png,df6ffb2e8589f7942fa241c23f9e218430e62660aeac09d6575dbe50a0f14bfe,"[497.487,68.458,1465.316,671.169]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007598,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007598_target1.jpg,6cd7e86d2f3b4dd7b8d82be060266c2af45aab5af80e76e80742d17d96f5d29e,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007598.png,3187844b1789cf8fd2e859424b78e02d7d817e0a8d2ac2a9954625abfc217217,"[493.96,198.591,1351.476,703.927]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007634,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007634_target1.jpg,3460b5329d851738b19f3bfe91aa0b2db1ae049b10371c2e6a34d981d665b256,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007634.png,a78e65dd12331a2134dfdd5400b7e3b4ae70c229265bd8be27b66107f2629770,"[413.528,223.02,1458.446,793.031]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007634,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007634_target2.jpg,02d4272a89f3daf43f035002bc93c0d0950d4110b96f3c594ee2b7ea50e900eb,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007634.png,a78e65dd12331a2134dfdd5400b7e3b4ae70c229265bd8be27b66107f2629770,"[414.645,223.422,1458.743,793.222]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007559,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007559_target1.jpg,510d7f156af5f4206f97fc890f3d432a22dd26270450f3a59a45ff22669df541,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007559.png,f2f4a8a8e9595db41a6d5815025c881c8b22b1e0d0e04ac8822528f6c4a76b7c,"[596.395,39.437,1402.525,676.523]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007650,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007650_target1.jpg,97323c5c86f1797cfa75a49b17094ac07e6e38a62e47a3d76e822b4291737e8b,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007650.png,707813ea7a7b2f00c73a07b4bda1a6467a0e6390bba6dfa883b1831d9dbd2739,"[626.288,148.24,1120.072,548.963]",0,"[132.0,0.0,1614.0,850.0]"
IMG_007650,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007650_target2.jpg,2287f70f646979258e0137517fd44ebdeca7635f76e49591d3a996f25765b3cb,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007650.png,707813ea7a7b2f00c73a07b4bda1a6467a0e6390bba6dfa883b1831d9dbd2739,"[139.883,203.056,593.407,477.501]",1,"[0.0,0.0,1047.0,684.0]"
IMG_007587,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007587_target1.jpg,be96cc8863e0aacfb6326b434e102888c840e0a3563bcc98175255b9103ad865,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007587.png,a5eabf71d9edeb0740a2ed71d633037bd5cf4d9ee9c1375fdf9c7f513837f74d,"[305.6,132.344,1397.741,867.779]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007587,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007587_target2.jpg,c09803f19f5857df1e3456672e615ac9a3ebcf0fc5c13c7efab528968f26bbba,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007587.png,a5eabf71d9edeb0740a2ed71d633037bd5cf4d9ee9c1375fdf9c7f513837f74d,"[156.151,100.761,617.095,405.279]",5,"[0.0,0.0,1079.0,634.0]"
IMG_007658,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007658_target1.jpg,28339032137d68a3b59be7dedd90bc4c66b47a10f029257bd1e62573e26ee0bf,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007658.png,b342ab3fa54b278ed3df9f1422768a78ef039394c61b9e83f29c4ed8df3c5e92,"[626.814,185.79,1521.007,696.936]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007450,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007450_target1.jpg,a3df8e42f6fb9565506ff0e446786fb3ed20807b25d53af94030f480594f489d,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007450.png,dfcabcaf60309258982b2f14a2079537b4c0d67d831f2d2bd838649f9c4cbfca,"[551.435,169.836,1445.386,743.58]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007445,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007445_target1.jpg,e341bf1d3da1314c6efe757d991a10b427ca7732024f3ebac58cdce6a6b34840,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007445.png,e2488304c57c05fbeb2bec2ee0ba020cc4af5b8c577da633a862d5593d40a598,"[587.94,146.82,1193.024,681.555]",0,"[0.0,0.0,1799.0,1080.0]"
IMG_007445,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007445_target2.jpg,c97fb99ee549561190e563dad51c4bb5c41798fdd1e10a6b1f401569acfa6d41,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007445.png,e2488304c57c05fbeb2bec2ee0ba020cc4af5b8c577da633a862d5593d40a598,"[587.536,148.156,1192.087,681.67]",0,"[0.0,0.0,1797.0,1080.0]"
IMG_007425,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007425_target1.jpg,fdab35094ada91fa2c006072b1cf21aa785e63abc8626c0c79b01cc8cd941ce1,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007425.png,76812f06edf5e1ac60c11bbec63e9ecc66186ce805ccb42639352654016799a2,"[592.925,318.074,1511.929,773.599]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007404,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007404_target1.jpg,f7cbc808a9b6d16a4b66f7974a7aa188315cfb3423834463e6f4e61ccfc0dd73,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007404.png,fd620718986af31c5d6919dcdac1b8afacf698dc1b3e72a1bf1755d7e1186959,"[581.999,250.291,1409.614,771.255]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007404,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007404_target2.jpg,8e052b9b9d069ef7e27e77555e7e20a60dff9dd977e793c7cedcdd29f358ba16,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007404.png,fd620718986af31c5d6919dcdac1b8afacf698dc1b3e72a1bf1755d7e1186959,"[584.057,252.461,1409.364,767.337]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007413,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007413_target1.jpg,893b00ecfef70bf5f799656eb2ee63bf8ead8387bb5419c0aed31b0504b10c63,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007413.png,964cb2b1c0aa78e862c2463199ceb11e2c5d71d150972a4c8ad8fbcaa21c3c93,"[546.967,220.067,1452.919,727.948]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007413,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007413_target2.jpg,f411ef867a2897898edd9d94ff37b6d262dc64b4e3c43df58a4ed187c66563d3,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007413.png,964cb2b1c0aa78e862c2463199ceb11e2c5d71d150972a4c8ad8fbcaa21c3c93,"[1289.854,187.029,1918.805,628.795]",1,"[660.0,0.0,1920.0,961.0]"
IMG_007361,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007361_target1.jpg,34cb7ba81eafae8c8081997e77a59867bae43c1fc83245a5157704c6c50ad7a0,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007361.png,dac89cc4e5fe23b0cfce2ba0ea50484551bf9d03fae59a3d57e70a2f140b36c5,"[423.346,95.629,1416.277,704.553]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007361,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007361_target2.jpg,34dd655881917e151414212855dfacff0ae4fa9ecb93c71c5accdaaafad5789e,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007361.png,dac89cc4e5fe23b0cfce2ba0ea50484551bf9d03fae59a3d57e70a2f140b36c5,"[423.346,96.641,1417.215,704.515]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007392,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007392_target1.jpg,d15a1e7d001cc4bdf141f8f031b8a42ffb4b8a41645719ffdaca8878db4f1009,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007392.png,09f6d8c971bcafdb24b6dd32111a4ef16ea4a68175d113c31dc3d2a71382cf56,"[504.002,181.538,1352.745,645.653]",0,"[0.0,0.0,1920.0,994.0]"
IMG_007359,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007359_target1.jpg,c9a3cce235a720e97fe6e7a5f8195c88678788be2ea8a798bde92baf5b2fd063,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007359.png,0f858350645bfb2da417651c472e17674c7e73c3c3fc5e7beb11ad38569e2cb7,"[433.557,19.645,1363.768,693.214]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007359,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007359_target2.jpg,5c5a1b9219570843b73ce5a8ee26623ce17912f098eb27ba17a7d57b77aa649e,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007359.png,0f858350645bfb2da417651c472e17674c7e73c3c3fc5e7beb11ad38569e2cb7,"[431.227,24.115,1363.002,691.374]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007350,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007350_target1.jpg,a097a65f9dad8fefb44d3908f15351f0c468386e8fca5b03c5da48620768f7df,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007350.png,0672e381842b11cab5742c519c87268fe09f29ffd958853831362eeb430087f3,"[598.911,189.18,1296.541,737.65]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007396,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007396_target1.jpg,4fce1d578a4a28c421d8b702272e574a4fc47ac3a6c8ef247389102d8db2725e,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007396.png,644abcee17bedddc5b57b7e2f6241d7bdcafd6870043073405879da1936fa2c4,"[594.421,203.39,1287.154,755.627]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007396,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007396_target2.jpg,3038dd7d0c60c915f4588cb8c3153a2b016ecdf7976ca19303d88f8322e63186,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007396.png,644abcee17bedddc5b57b7e2f6241d7bdcafd6870043073405879da1936fa2c4,"[1.13,243.562,421.286,776.499]",1,"[0.0,0.0,842.0,1080.0]"
IMG_007654,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007654_target1.jpg,4f678908e115661e81508622bf7cfc49849bb704d13f4113e564eb62e8efc2ac,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007654.png,cb02df1970bfbfef7fc91fa5f26b649261b1a0abc993a9e7d138eeae709aed0b,"[402.04,161.323,1212.914,740.715]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007654,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007654_target2.jpg,619767cf05f256a270a93a0c71de719e761992d61370e9d43c19c0134277b4cc,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007654.png,cb02df1970bfbfef7fc91fa5f26b649261b1a0abc993a9e7d138eeae709aed0b,"[402.847,159.557,1211.793,738.711]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007637,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007637_target1.jpg,527998885a6b46c5f1264cf30b7163bfbf9028830d62d3063b1a16b5f5442e10,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007637.png,aaed8f87b10e95beae05ff6f909e4359fab1b60944b7725298af180943975ae2,"[533.467,184.688,1411.861,729.577]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007562,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007562_target1.jpg,8d1d858d011dee1b4f2dfed0f88bc83e50fd82b043c4893ea123402ea4700a10,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007562.png,e98d3f068c7e7ff0d6a731ab924fff48d66316d0dcaf320ea721c3ee9aefb426,"[609.445,247.62,1257.898,756.398]",0,"[0.0,0.0,1907.0,1080.0]"
IMG_007626,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007626_target1.jpg,c9d6d3b4990b69fa5582b3659ac6140c1b5653a085453b23a2bbc632ed11982d,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007626.png,aa93382d3872cf38843388e36afd0119a8d72e98e4244118048a828abba47f0a,"[488.829,137.982,1299.594,750.641]",0,"[0.0,0.0,1920.0,1080.0]"
IMG_007593,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007593_target1.jpg,91fe05de97f7d2bc7c5914b224843556d6d848d7d4765ce31588347dbb8865f4,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007593.png,cd5e8f47b91c0c7e5051d1f9bb5e6a95ec02a197a66bfb234ef886b385d6ce63,"[378.612,50.12,1422.04,658.557]",0,"[0.0,0.0,1920.0,1080.0]"
